LimbicB-ContA	LimbicB-ContB	LimbicB-ContC	LimbicB-DefaultA	LimbicB-DefaultB	LimbicB-DefaultC	LimbicB-DorsAttnA	LimbicB-DorsAttnB	LimbicB-LimbicA	LimbicB-SalVentAttnA	LimbicB-SalVentAttnB	LimbicB-SomMotA	LimbicB-SomMotB	LimbicB-TempPar	LimbicB-VisCent	LimbicB-VisPeri
13.215742	12.243259	4.229017	13.424356	7.052344	8.316678	2.786143	2.754879	15.573523	0.457635	8.390041	2.166714	1.330017	0.56389	4.609881	8.891383
1.718311	1.173946	7.005718	7.581082	0.930353	1.289683	1.261291	4.181831	9.944754	8.252349	9.651716	3.761321	1.577554	0.657248	0.588074	2.105983
10.874673	4.100246	11.75311	11.943418	3.059435	0.839113	0.159355	3.407236	7.442631	7.117769	6.217509	4.583217	4.868903	2.85318	4.886553	2.445981
1.295571	4.192357	9.309557	1.047845	0.455814	7.769224	2.119098	0.871537	1.610771	4.081039	0.278979	3.840974	3.53523	7.14525	1.157259	3.588566
6.551052	1.901063	2.879242	7.348599	1.478856	2.973783	1.109576	5.433143	7.605614	1.162714	9.807986	1.060713	1.707126	2.498246	0.331331	0.324102
2.440734	1.165939	3.852506	6.296441	3.858056	7.849327	0.566237	2.434298	4.152122	5.105586	3.395539	1.883923	4.472995	0.400719	0.109702	3.958162
1.060403	0.056585	0.310266	2.725904	3.421567	5.694251	3.926906	0.073101	0.483442	0.425177	8.989816	3.355388	0.525651	2.540745	0.986622	6.293016
1.037052	1.279581	6.978982	6.882451	4.382026	3.918891	1.12975	0.351031	6.083654	2.653108	16.938993	2.378142	1.700444	0.056566	1.657842	0.78038
21.35385	2.490054	2.708537	9.738698	5.480359	1.742815	0.701034	4.806535	28.800055	5.673559	9.209355	6.130919	1.223559	1.633302	1.44774	5.529046
21.064326	9.404198	19.6266	8.800685	4.527594	7.643556	0.407445	8.836847	39.490297	13.243591	15.647937	1.566978	1.508511	1.53335	8.601407	1.949226
8.100435	0.478778	5.316009	6.227721	3.182075	0.247001	0.456125	2.113651	15.64315	8.826683	7.261587	6.96054	2.523271	3.514848	1.492039	0.476215
15.184768	11.38858	10.158595	18.384218	14.587482	0.614775	1.273459	0.970921	15.269375	0.3562	7.944806	12.696414	2.745889	1.009549	3.607789	3.822133
5.617794	2.414001	9.026332	13.366546	2.010543	0.210171	1.137411	0.845417	4.716252	1.619599	11.343924	2.137563	3.474131	0.955682	0.025512	2.266075
0.742609	3.604269	5.60008	0.843548	1.572179	0.508233	1.720459	11.35285	4.977912	4.930916	13.670347	1.954876	6.263642	1.45961	0.990332	1.83142
0.911536	1.511163	3.561283	0.862372	5.526928	6.528629	5.059874	4.326074	12.116897	0.765145	15.610801	3.566543	0.800395	3.160251	7.789547	2.963751
2.890565	5.76446	3.258559	2.730922	2.667877	4.805648	0.357317	1.697339	1.696757	3.127443	10.025611	5.529958	3.060667	1.387378	0.371367	0.96002
8.785534	7.92055	23.5551	24.623422	7.332034	0.821499	2.903593	9.001005	22.59728	1.040578	13.935116	7.039344	2.61483	0.30766	1.928015	0.104199
3.6037	0.700802	0.330041	5.974148	3.783244	1.209182	1.006529	4.650507	3.824082	11.897669	8.92462	4.000984	2.274578	0.427651	0.04422	1.934147
10.589879	3.446717	3.892991	2.66636	4.922533	2.107948	0.684395	1.193786	14.660432	0.791712	3.231287	8.721076	1.435457	0.067559	2.364374	2.441994
3.550533	1.64995	3.874751	2.411907	2.186211	2.162551	1.526763	8.425226	5.382215	0.872234	8.860283	0.531959	2.011604	1.918769	0.222631	3.625006
0.002665	0.875514	4.327215	14.806225	3.036389	1.731671	0.449733	0.294931	0.98842	0.757265	5.910151	0.223412	0.151198	3.961493	1.030777	0.202982
3.229964	4.132174	5.118415	14.075113	9.162492	4.773753	1.832349	0.420304	15.579226	2.506444	9.144853	5.788715	0.271663	4.874047	1.142507	13.905704
4.567728	5.181548	0.779671	0.467363	3.208336	2.094076	1.793805	0.112141	5.149321	1.769465	11.041998	8.296033	1.752461	0.298043	1.580788	18.129605
2.812024	0.288211	0.304327	3.82082	6.40667	3.096236	0.724491	3.345497	2.038398	2.87277	1.814452	1.244233	0.648995	4.591967	0.317882	0.590599
0.006591	0.728225	1.61225	3.868595	0.119387	2.362639	1.430825	0.537086	0.01861	6.974124	6.024588	0.012406	0.452273	7.767554	3.046268	0.466607
1.820363	1.576238	1.990023	0.233804	1.369305	1.131712	3.265124	0.390586	0.094103	7.209631	1.55951	0.607072	1.405198	0.049618	6.3364	0.837412
10.869028	3.509269	3.674272	6.553907	1.534181	0.890708	0.490485	0.431889	13.970462	8.944858	12.163358	2.112131	0.919539	0.244209	0.532571	0.796683
3.260262	3.543923	10.850081	2.467326	4.490515	0.587402	16.440672	2.831274	7.425014	0.921644	12.156114	1.452325	3.9341	0.772425	3.253889	2.257904
5.852903	0.855115	1.621144	4.412828	4.502122	5.074419	0.582878	0.228856	11.323329	4.713887	8.010304	17.299279	2.216179	0.214939	1.606432	12.117717
2.581899	2.647512	7.28594	6.544077	0.520922	3.551529	0.056495	0.086976	0.760039	0.972824	3.747422	0.518494	1.321019	1.560421	1.397539	2.178345
10.579622	2.001714	3.440444	16.063495	4.580889	0.918952	1.478404	8.650479	15.518068	1.480184	8.079222	12.161776	1.161771	0.842783	1.435561	4.700347
11.348502	9.846306	10.550856	7.822901	3.293334	1.734535	1.93544	2.741931	21.31896	4.944213	14.98885	12.449302	4.874409	0.3095	0.260904	7.487642
19.444539	14.507467	1.834485	6.30868	14.351467	10.751709	0.511404	1.508531	10.725734	1.803276	14.572174	2.135619	1.782146	6.168528	20.596897	0.169453
10.456822	2.022624	6.509818	6.682266	12.197536	1.203874	0.832173	2.347915	10.38649	0.827359	3.265083	6.022498	8.579068	1.943942	2.656604	2.023293
2.806302	6.076135	0.274584	0.694977	3.715527	6.159663	3.753637	0.109797	3.465571	3.386708	7.471619	4.088443	5.447206	16.48649	1.031389	2.785531
0.045318	0.328559	0.115793	1.348015	2.206498	0.733727	2.859238	3.1101	1.738157	6.490533	7.951674	0.989821	1.117856	2.743207	2.135955	1.148038
3.175595	4.333691	6.642722	8.248717	3.821312	1.056946	2.304953	4.117707	7.717913	1.408895	9.248496	0.312832	0.542619	2.063366	0.178841	3.005993
5.586327	3.374931	4.781544	8.155941	4.343512	0.494251	2.11207	2.594814	2.302974	9.840051	12.089647	2.545164	0.227304	0.015676	1.366983	2.584617
0.572982	0.549098	3.875637	1.944189	3.717545	2.145364	3.886932	2.983525	0.531134	1.047825	7.78662	0.310344	1.687888	0.631463	2.929136	0.682602
3.746123	2.083521	1.978339	5.401665	0.493806	0.899208	0.220254	2.573764	5.448593	11.275395	11.532331	2.157093	0.78081	0.561182	0.483416	0.419815
9.779093	4.866751	7.174063	12.639671	21.074989	3.239226	1.82437	10.883933	15.967293	7.198871	14.103284	11.292413	2.734762	0.620587	4.32236	9.320439
0.472196	1.056949	0.16447	0.28931	3.870626	0.239461	0.256822	0.224705	8.668692	5.204074	10.013125	5.841472	0.74279	1.077761	2.025838	0.927104
3.451891	0.627199	0.257621	1.96976	3.493598	6.115662	0.659932	0.326878	1.186663	4.974692	18.196564	3.13801	0.075541	1.681913	0.558454	1.740963
1.578721	0.603703	1.708541	4.678259	5.998606	1.107527	3.722723	1.149128	9.812938	8.046282	6.987606	4.316923	1.635579	2.402474	2.949731	2.129752
8.749629	2.781101	2.185821	2.611847	2.031126	10.551304	0.700956	2.167766	0.816675	0.035603	8.978164	3.570041	0.160159	4.01128	0.317749	1.926647
7.588161	0.011485	3.504214	1.325192	5.722361	8.807305	0.324199	1.812445	4.270458	11.336103	12.067816	3.784956	1.924286	0.244974	1.409186	6.301222
9.43913	1.398053	3.100858	7.152432	1.561197	0.538505	2.778198	4.527303	9.469811	3.974751	6.30207	4.052709	0.413329	2.157803	0.308552	1.456312
6.547735	4.339217	2.511005	11.176518	3.469914	1.131794	0.377175	3.269906	1.108695	0.076626	3.135788	2.873693	3.086594	0.69067	0.097094	6.640537
4.669609	2.885007	0.725315	1.441613	4.702828	2.555823	4.456606	5.216099	3.425274	4.702393	1.249022	0.457774	6.728911	2.786332	0.052241	0.561038
2.205453	2.700218	1.527045	2.879135	4.750074	3.016893	1.997216	0.109339	6.289281	2.349132	14.450419	3.666958	0.159807	0.969189	1.04632	4.903733
0.247445	1.43156	0.822292	2.457822	1.725524	0.583765	2.142523	0.566592	3.77492	0.015341	0.190224	3.25121	2.733793	3.33411	0.780967	2.332237
0.772437	6.969937	11.209902	10.815854	7.86131	0.947287	4.399756	0.008253	1.649226	1.910128	2.085359	1.60456	1.127373	1.064314	1.538592	2.290114
3.668711	3.53884	6.35057	5.6268	2.233501	3.115211	1.516454	0.105638	1.982295	0.629469	3.680956	5.179555	0.752205	0.727691	1.147873	4.415135
1.721707	4.81723	8.910754	12.898249	11.122482	0.745556	1.040007	0.167066	1.271972	3.328834	14.754892	7.158367	1.846888	0.615306	0.481885	0.584144
6.895598	2.041517	9.51727	10.347657	4.166736	2.073749	1.340974	7.951506	14.929015	19.595348	11.032274	0.532121	0.089386	2.506936	15.416059	3.04048
6.361277	0.571076	0.944427	6.757514	2.685552	2.643688	2.010369	7.166284	12.237339	4.241309	9.804678	4.58364	1.460962	4.57477	1.596814	1.779622
14.911181	11.171168	3.347329	5.544865	8.358697	2.998278	0.070476	2.317885	24.625946	2.967631	11.473638	15.007658	5.743165	0.374791	1.102274	6.904748
4.543706	7.297722	2.200552	5.057364	0.080692	1.49341	0.743051	0.738792	4.16191	0.003407	2.574082	11.01476	2.46926	0.196448	0.405304	11.83811
0.81508	0.352095	4.649963	0.192749	5.173083	1.57371	0.822499	1.87922	2.073229	0.394855	1.503037	0.340666	0.904373	4.673759	1.358702	2.22295
8.65312	5.752455	2.071022	1.827382	0.812688	0.110125	4.943588	3.262106	8.619244	0.757735	3.322739	5.169449	0.053983	0.814678	0.138912	0.988426
7.8727	1.973493	8.545601	20.428589	9.269215	2.970536	1.370474	1.499446	7.362015	4.874425	10.170719	1.66513	0.701886	1.103224	4.11831	0.613944
5.886031	11.013957	8.195439	2.964754	12.142919	0.10786	1.784968	2.688095	13.34442	19.789577	9.393467	2.38278	4.111867	3.514349	8.510223	6.59603
9.132592	7.214395	5.329379	7.425999	4.983503	0.765859	1.032965	6.521356	7.138616	12.654366	3.894193	0.816131	6.584551	2.256108	0.310029	4.975078
3.996348	0.091884	10.91966	11.223323	5.467672	4.861841	5.644452	5.017454	21.255329	13.856954	10.178976	0.146156	3.819999	2.447757	0.04612	0.738431
6.227902	6.870118	2.92061	9.558835	6.95588	2.559689	4.053021	0.379537	5.906194	0.960232	11.253805	2.438118	2.949801	1.302421	0.69005	1.580276
1.086978	1.365398	2.147585	2.200919	1.919768	0.363969	0.803583	0.994199	0.678229	0.409279	4.971276	0.176235	0.576907	1.670674	0.537435	0.140137
6.089232	4.939018	6.968107	14.554588	3.360698	3.137166	1.171532	5.597944	18.228939	10.840285	4.306003	4.407289	1.443668	5.829995	0.223847	2.63406
9.544008	1.061373	1.282009	1.622546	8.672184	1.676297	0.015151	4.421952	9.4831	3.192584	7.967055	2.982982	1.048034	0.052437	0.387585	1.963096
1.508675	0.885084	6.852937	13.993892	0.558282	4.629249	4.071704	1.304562	5.240076	11.968362	5.647805	9.854932	1.050341	3.605318	1.359552	4.351933
0.99356	0.342852	14.230299	12.798579	6.735	0.8445	2.714024	2.23538	7.037513	2.112563	12.648056	4.298155	5.605913	4.589967	5.795933	2.672944
0.865921	2.040491	0.491253	0.338917	0.000145	0.227155	2.643423	1.067021	1.656159	1.135381	2.287788	2.938739	0.356318	0.734172	0.342883	1.925101
