VisCent-ContA	VisCent-ContB	VisCent-ContC	VisCent-DefaultA	VisCent-DefaultB	VisCent-DefaultC	VisCent-DorsAttnA	VisCent-DorsAttnB	VisCent-LimbicA	VisCent-LimbicB	VisCent-SalVentAttnA	VisCent-SalVentAttnB	VisCent-SomMotA	VisCent-SomMotB	VisCent-TempPar	VisCent-VisPeri
15.949441	0.73871	0.669794	1.149242	4.819684	3.308437	2.871151	2.574485	13.335042	4.80871	0.898219	6.243243	3.393669	0.603556	2.586777	4.681555
1.442103	3.904657	2.25754	1.19337	1.077553	4.28757	2.615651	0.54741	0.014082	0.161786	0.369129	0.585707	0.087561	7.537359	7.262881	2.217255
1.874663	2.135238	2.903165	6.803137	10.232643	7.039823	1.615109	1.522574	1.119937	4.288926	3.133907	2.069199	2.036665	0.210581	2.103488	3.9333
0.821322	6.509813	3.859865	0.059096	1.325007	0.90262	1.036098	0.615815	1.009924	1.631366	0.082247	0.271635	4.732648	2.495813	8.081604	6.218436
0.704177	0.622135	1.568375	1.927456	5.38254	4.070117	0.684727	0.023007	0.315315	1.647099	2.028337	2.836921	2.290224	4.319391	0.007542	0.539209
0.387736	0.905902	1.448349	0.729199	0.032504	0.755947	2.468974	1.192868	0.044577	0.985625	2.42672	0.946083	6.978705	0.296862	3.913446	2.317243
4.761471	8.389548	2.536265	1.328273	2.218098	0.874121	0.041924	0.348417	0.248134	0.257131	0.042057	0.937408	3.753323	1.947552	5.79731	2.078723
5.506998	2.753927	2.254602	0.321341	2.435216	4.480398	3.797073	1.687213	11.039341	4.193863	1.256778	2.59242	7.242908	3.268838	2.184654	4.364911
0.378673	0.106138	0.080517	0.325902	2.00141	0.670809	1.483219	2.046223	0.528544	0.184089	1.598584	0.211518	2.621401	3.158838	0.877433	4.193907
20.341051	6.863248	3.122838	5.198229	5.091047	8.073042	2.898283	5.096602	24.758959	5.140581	1.944586	13.401327	11.691224	9.051407	1.516687	1.183956
0.737499	1.034347	0.702918	0.347165	0.191809	2.775963	1.817396	0.508861	0.006702	0.02126	3.200732	2.758536	1.275248	9.15741	1.142728	0.941805
2.395838	2.046132	1.59466	1.108264	2.540942	4.915943	1.397743	7.112188	1.17945	4.25071	3.457457	2.798649	0.629546	1.934888	6.280005	1.966499
3.922398	0.075864	3.686415	1.465642	1.86396	5.339846	0.977071	0.30032	7.788298	5.381954	4.259823	13.549424	5.714879	16.601453	0.087365	2.166691
3.287843	3.2401	2.767106	1.427438	1.043184	1.326257	2.183511	0.515062	1.48149	0.115406	0.087023	2.852902	2.979111	5.328595	1.304758	3.764863
0.994206	8.091872	3.83353	1.223943	0.076369	3.724482	2.912171	0.799144	0.224166	2.819687	1.574467	0.255458	2.42485	0.210038	3.032269	2.392923
9.62064	8.971587	7.063326	10.070245	9.81182	8.281465	11.623112	8.247605	9.674235	3.755288	2.119376	9.470149	6.632549	4.737474	3.325025	2.913064
3.181459	2.628259	0.393349	3.186695	4.432059	5.130138	1.637262	6.57312	3.761402	4.406629	4.938349	4.348536	0.588008	2.175661	7.984796	3.550603
