SalVentAttnA-ContA	SalVentAttnA-ContB	SalVentAttnA-ContC	SalVentAttnA-DefaultA	SalVentAttnA-DefaultB	SalVentAttnA-DefaultC	SalVentAttnA-DorsAttnA	SalVentAttnA-DorsAttnB	SalVentAttnA-LimbicA	SalVentAttnA-LimbicB	SalVentAttnA-SalVentAttnB	SalVentAttnA-SomMotA	SalVentAttnA-SomMotB	SalVentAttnA-TempPar	SalVentAttnA-VisCent	SalVentAttnA-VisPeri
2.090909	7.380761	2.909311	1.757067	2.492711	1.60374	3.115209	0.832405	1.820224	1.117605	0.629372	3.488184	0.881915	10.012912	3.52928	1.441046
2.489432	0.803255	1.413596	0.286155	0.654535	0.904887	0.509138	1.159893	2.885632	6.023822	1.729916	2.407437	0.592681	0.186346	1.923326	4.226554
1.804096	2.721932	1.924965	2.386347	0.555578	1.087262	0.021991	2.985646	1.379535	5.357534	0.43626	1.551126	0.541578	2.55248	0.893552	0.915852
13.325818	1.48904	0.12801	12.559703	10.880419	3.121433	1.094689	5.545258	2.145408	0.758186	1.804541	3.936096	4.2474	0.355359	1.188674	8.125506
0.333128	0.148781	0.198673	0.044448	0.234413	2.22441	1.07591	0.084885	0.576709	1.714081	0.882916	2.945614	0.32305	1.346753	0.648317	0.098372
0.087359	0.11433	0.197603	0.199201	3.169207	2.164382	3.244437	4.445927	1.070945	4.497163	0.297985	0.392147	2.126684	0.722317	0.15405	2.035824
3.959194	0.6459	0.212928	0.046743	0.447867	1.474522	1.603594	0.668909	2.145529	0.294047	0.027903	0.649099	2.55252	1.959668	1.634808	2.090446
3.313193	1.748621	1.366191	2.931433	4.365323	3.691425	4.924994	3.140323	0.124068	0.00118	0.497932	0.190089	0.664637	3.797782	0.001697	0.283607
0.29437	1.853073	1.165348	1.389669	0.552092	0.380708	0.008637	0.256233	3.754567	0.084608	0.86268	0.345375	2.052945	0.387817	1.352282	0.585328
0.873115	1.112527	2.139481	0.358787	0.386356	0.28759	4.887204	0.917239	0.70511	1.274217	0.678812	0.485174	0.013734	1.071577	1.605329	0.741599
3.170925	0.376021	0.573772	0.29058	0.48893	0.014742	0.969678	4.171692	2.848909	0.675628	0.338545	0.430853	0.375263	0.536256	1.40482	0.851183
1.422249	0.250873	0.089342	1.025481	1.69621	0.016243	3.743924	2.654723	2.870712	1.745777	0.91608	2.216755	0.294705	0.13767	0.811077	4.185069
0.283764	0.428727	3.722501	0.277919	0.334339	2.044811	0.1228	0.658321	0.018468	2.042106	0.06664	0.315754	0.73346	0.981298	0.725924	0.792555
2.855401	2.545889	0.003632	1.528267	1.422832	0.141218	0.656958	0.262705	1.337327	3.470373	1.549911	1.991958	1.151259	0.661574	0.085839	1.527897
3.422768	1.689023	2.281061	0.954735	2.184973	4.278772	2.686161	2.040014	3.247674	4.021581	4.517648	4.466289	0.192554	0.931636	0.92004	6.018774
1.773439	10.56689	3.056181	0.6416	4.254088	7.443054	5.276507	6.03443	1.419666	4.53208	2.177076	1.439582	3.276175	3.70508	6.63306	0.315043
4.76512	0.966947	1.559444	2.262025	2.49905	5.909119	4.621947	13.916933	3.720712	3.391147	2.820942	6.880961	3.28005	3.752306	1.709134	3.075498
1.981874	0.627208	0.155485	1.047079	0.806084	1.456834	2.243187	0.522465	0.465201	0.309907	0.477546	2.402301	0.612248	0.766668	1.11979	0.430975
4.046749	8.54329	1.413894	2.301254	2.358474	3.508059	0.143093	0.355689	1.381892	0.060174	0.104983	1.368138	0.6408	1.303035	0.083	2.92687
3.112485	0.164495	3.091001	0.583061	0.153328	0.861742	2.557667	1.04962	0.022378	0.082799	0.326722	0.710152	0.535691	4.444526	2.815757	0.337021
4.038018	1.885774	3.712725	3.584037	2.312487	2.192421	0.346721	1.870162	1.945967	5.092587	8.383603	0.512442	1.157016	0.460171	3.906679	2.567959
