VisPeri-ContA	VisPeri-ContB	VisPeri-ContC	VisPeri-DefaultA	VisPeri-DefaultB	VisPeri-DefaultC	VisPeri-DorsAttnA	VisPeri-DorsAttnB	VisPeri-LimbicA	VisPeri-LimbicB	VisPeri-SalVentAttnA	VisPeri-SalVentAttnB	VisPeri-SomMotA	VisPeri-SomMotB	VisPeri-TempPar	VisPeri-VisCent
12.48693	7.49775	0.054525	0.090095	0.678278	0.497639	8.225409	9.648427	18.503672	4.150242	0.571428	4.51392	7.338711	0.972705	0.672388	4.269247
1.855132	1.521306	1.066119	0.837237	0.292885	1.337666	1.489643	0.247557	0.422213	0.691218	0.521742	0.825557	6.224081	2.125457	0.129712	4.263408
10.008881	5.162672	3.010867	1.301435	2.952819	1.970928	1.699941	2.020517	9.382869	3.695509	2.48258	4.416443	1.769469	2.043435	1.744434	7.670652
16.444269	8.487504	7.487465	7.153529	5.498013	1.530623	0.73451	1.295251	16.543329	13.063848	0.689284	9.339044	21.503507	1.257013	0.365783	3.29283
3.665656	19.325468	12.133609	16.161705	15.881277	2.146315	1.022942	0.10428	11.456356	17.268624	7.793752	17.685407	6.219558	0.826281	0.70492	2.608435
8.324816	5.859849	6.142587	12.89803	13.907242	3.717289	0.390857	1.429113	4.490428	5.188138	1.02326	2.552376	11.922511	2.674435	1.797159	6.547743
0.512851	1.029352	1.230077	1.908365	4.646625	2.684485	7.047331	0.4362	2.380025	2.70954	10.199696	3.511122	3.254452	0.529495	4.70536	9.573504
3.152255	4.903156	0.379834	1.262185	1.034513	4.003536	0.632213	6.617546	7.614368	2.166571	6.825472	7.138526	17.456192	2.598795	1.160541	2.389876
5.56546	6.613486	1.455649	3.44888	2.275906	2.334628	1.47147	3.29605	7.568584	7.678926	3.886867	8.349873	5.688642	2.504194	0.238196	8.660738
8.335945	13.5402	0.727141	1.350301	6.012535	0.503202	3.757972	1.775054	6.832376	3.198998	0.740321	1.748776	8.830708	6.348872	2.565339	4.451975
11.811419	9.370682	2.918209	2.642202	2.68656	2.358584	7.819817	2.222999	8.94339	8.631613	2.609894	8.724614	28.920633	0.163441	8.338545	11.990647
14.590327	5.038793	0.807258	0.915098	0.036975	1.33269	6.829471	0.900986	10.616249	5.870182	2.945279	9.71105	14.731754	0.677575	8.888833	7.483115
3.217119	9.636108	1.802647	0.591838	2.877828	1.633703	4.060277	0.262177	3.457079	1.493807	3.701365	1.413909	7.089425	2.205664	12.285717	7.130721
3.840244	1.246352	7.798903	5.992077	7.846702	8.399197	1.159159	8.308506	10.335314	4.290201	1.174507	4.577746	11.829156	0.686564	1.355352	2.233421
2.808861	8.277504	0.417284	11.126373	9.949302	0.690969	0.723402	1.278919	5.406566	2.814229	5.63894	2.058439	2.021269	0.542304	0.418256	4.419165
11.692287	14.682136	1.95575	2.761167	13.087255	12.075211	2.85189	2.204847	14.737523	7.619153	0.561468	7.145306	9.502623	4.86732	4.681654	4.521042
2.180114	2.119938	3.346509	2.132239	7.011783	6.367323	5.356159	0.206347	0.162159	6.969837	6.195592	6.031727	9.836337	1.440331	3.277455	24.857071
5.335666	0.094327	0.290455	0.455398	5.144406	4.122721	0.097026	1.911185	4.460836	3.015338	0.302865	4.601398	10.345737	1.394759	3.297081	10.511272
17.821055	7.132667	3.257285	3.93824	5.289226	0.142721	3.696157	3.302909	12.397263	22.533058	1.613882	7.947296	7.676976	3.551735	3.630168	13.210518
8.731208	13.637206	1.990345	3.623587	6.401794	1.330558	2.3875	0.498818	8.36013	8.013882	0.38956	3.128965	11.421033	1.648853	0.507435	13.651137
13.765651	14.734612	1.099678	10.942978	19.111892	11.136365	6.813251	8.881985	11.313476	9.424058	0.641367	11.344202	28.760714	2.213432	2.866044	8.269073
5.514836	13.829603	15.715156	12.973145	1.778326	2.149956	0.981935	1.837012	8.118943	3.710185	0.199857	3.734326	22.762127	8.156762	0.354193	30.006991
5.726175	18.753042	9.619778	13.771153	13.012577	5.349555	5.220951	2.769435	9.001619	6.088532	0.084083	3.014866	16.915265	1.465922	6.078486	12.002556
30.570961	13.166182	4.959055	1.106247	6.059053	7.49337	1.238042	7.758467	17.059442	16.252417	0.450469	1.097001	19.980057	5.611186	4.459944	2.439782
8.945698	11.348494	9.784698	6.368093	11.471148	2.484724	2.925312	0.711678	11.17925	6.756012	0.405686	4.351247	15.856758	3.924288	2.619624	10.032186
9.647145	24.601329	5.131227	7.010581	4.781944	6.407259	4.412154	4.336584	13.807733	6.75505	0.303066	5.708406	20.734252	3.584209	6.389012	4.08162
21.586729	28.540669	10.974925	30.104651	29.30612	21.476122	12.77114	18.751702	21.21572	17.141054	0.401652	33.007536	24.72975	2.038415	12.732307	6.648177
4.66763	2.497638	3.06101	2.745578	3.742042	6.540055	0.808768	7.837702	3.918892	4.579582	2.529207	3.548088	2.143739	0.839919	2.064719	2.88517
21.301672	8.411166	4.417162	16.297069	6.304637	1.111602	7.456191	1.628136	17.277605	5.752669	0.546519	8.781646	2.72129	0.129224	2.689094	2.879621
11.049949	2.774014	7.21615	10.47796	10.604681	0.314522	6.961844	1.205276	6.292459	3.498939	5.68413	2.855214	9.381487	0.076667	0.172256	19.727251
1.335554	0.34256	0.194968	1.622011	6.210479	1.590551	1.684015	2.28036	0.321005	3.11945	0.187104	5.082424	8.38021	1.039036	0.338787	1.030653
11.159447	19.017869	1.49045	0.81082	0.771962	6.911003	6.397318	15.593744	4.185399	1.986803	0.972735	1.038096	15.924373	5.121979	8.281687	9.70903
3.287656	1.80823	0.202467	0.252908	3.595686	4.954447	1.804914	0.421084	3.892571	1.583496	1.11394	0.769517	10.167262	2.612411	0.358266	1.008255
6.304502	13.004514	6.955362	4.822326	11.967543	20.005728	0.625462	0.280467	2.376282	1.879116	2.45289	1.156369	22.628731	3.002314	13.447901	9.063219
7.655935	21.691709	5.526349	11.095715	12.102387	1.651701	1.544489	0.247745	4.600805	2.840807	4.605235	2.064387	25.717308	0.657976	2.218459	12.435376
13.958152	22.461882	3.347027	12.836214	19.991675	5.916993	4.072013	2.563557	12.713142	5.267703	1.397206	7.550624	20.500159	2.006022	3.556467	13.743658
2.919523	4.420801	1.132211	0.914843	3.699728	1.87307	1.041195	4.15587	2.352493	0.344247	4.533399	4.068315	12.570592	0.674624	7.635907	17.368439
