TempPar-ContA	TempPar-ContB	TempPar-ContC	TempPar-DefaultA	TempPar-DefaultB	TempPar-DefaultC	TempPar-DorsAttnA	TempPar-DorsAttnB	TempPar-LimbicA	TempPar-LimbicB	TempPar-SalVentAttnA	TempPar-SalVentAttnB	TempPar-SomMotA	TempPar-SomMotB	TempPar-VisCent	TempPar-VisPeri
2.942186	1.310475	1.195029	4.358867	7.197022	1.554572	11.378785	0.931784	1.549944	4.662221	0.173948	4.786887	9.774493	13.727394	8.13879	5.82253
2.669785	0.496886	8.690199	4.702855	4.04003	4.030763	1.317235	0.604684	4.962562	2.042469	0.982805	5.472539	0.825796	0.083288	1.291292	1.403158
1.092581	0.620716	0.920831	2.36343	7.339576	0.705797	1.090907	1.88145	6.91192	14.232843	3.786683	9.444769	1.972674	0.661852	1.8105	0.260669
0.508338	5.453713	3.021354	2.56162	9.759453	11.046162	6.894505	2.841909	4.363707	2.701768	1.469655	4.988415	1.273174	2.882218	1.933385	3.657072
5.115501	0.744747	0.736624	7.854483	1.129426	0.684554	0.056384	4.469362	3.323364	8.595654	1.617584	4.961224	2.872036	0.363258	0.649976	0.545194
1.22786	0.238812	7.699154	6.986293	6.083762	3.589003	2.96026	1.917547	0.234077	2.131116	3.331629	1.40124	2.815587	0.446155	3.752106	4.508316
4.272454	6.598049	1.423123	0.403208	3.437602	0.653135	5.996434	0.007804	5.014449	0.159579	0.835482	0.457668	7.540243	7.958022	1.230416	2.084385
0.213245	0.421047	0.993232	0.343822	0.235473	3.292572	1.288836	1.540435	2.290748	1.152703	5.608892	2.302757	2.109804	1.420588	0.278381	1.046434
3.66883	7.524413	2.049301	0.380546	0.974699	4.03697	3.977878	0.658088	5.428508	0.0279	2.732078	2.679634	9.058375	2.145381	0.391551	0.306157
2.784521	2.282792	4.163958	2.707739	2.997304	1.24735	2.524894	0.214731	3.054029	1.390423	2.27969	0.032961	0.039794	6.880448	1.110991	0.069295
2.376555	0.696539	2.520785	0.896167	1.48171	0.501697	0.006914	0.919529	1.566545	4.891821	6.640813	2.142381	0.194385	0.865322	1.01296	2.25092
0.237947	1.508306	0.595042	0.38614	2.309995	4.233071	2.183076	0.931642	0.159963	0.234578	6.784505	0.712223	4.426582	3.827696	4.058273	4.124932
8.742139	0.130523	4.941471	4.966564	6.179855	2.859149	8.787893	1.99725	8.350838	5.33478	4.720512	1.467032	3.057024	0.702307	9.410856	1.775219
13.47553	4.720369	1.469049	1.811807	0.215021	0.834007	8.936151	4.5471	7.120787	3.399608	1.990909	4.248271	1.674715	7.320461	5.643417	6.417709
8.902521	5.248041	4.782293	5.631315	2.277183	3.407759	2.810844	4.488226	7.703549	5.247589	2.259657	2.590063	1.605459	0.402472	9.474373	0.82916
3.432946	2.852428	4.541413	1.747594	9.493094	4.040991	5.642998	3.829435	1.622085	0.286971	1.576864	0.59062	12.923866	8.070528	22.423241	14.401547
0.808481	0.780026	0.920275	0.185981	0.443697	0.067689	2.693848	0.106342	1.497293	0.452437	1.491828	0.766613	0.333217	2.737285	0.117863	2.221443
5.432642	0.60128	0.336219	0.449802	5.201043	7.560033	8.256653	4.959789	7.214665	2.430199	9.156289	0.926995	2.748003	2.285191	6.408492	8.249947
7.572645	7.1972	4.282672	6.202084	6.204668	3.241803	0.888982	5.61569	9.281285	4.253003	0.86738	4.241447	0.329369	0.701229	0.07755	0.767417
8.662807	10.380582	0.095941	0.972694	3.018503	16.167786	6.673592	16.849005	3.807095	0.492294	8.019326	2.45037	1.193574	0.793054	1.376676	0.530046
0.720864	3.383663	1.792561	1.39087	2.554554	4.0447	3.342374	4.099555	3.687534	1.014131	0.163064	0.613375	3.585036	0.458409	2.05294	0.043271
3.861576	3.130767	2.388676	2.96878	1.462406	2.307296	16.439538	4.874534	4.289822	3.951203	3.46605	2.986122	3.338347	8.779122	16.753128	7.545443
2.925473	2.820731	0.889482	8.676428	10.329951	8.812635	0.956909	4.91941	1.565123	1.13879	11.465766	1.618548	0.343869	3.081851	3.41831	1.885377
0.483766	16.493918	0.325385	0.496783	1.565743	15.433413	3.46595	1.189958	3.466638	4.151788	13.904536	6.116829	11.129996	2.988069	8.605068	5.357363
0.536075	1.550143	3.688785	3.128602	0.224266	0.88641	0.51155	1.313755	0.15743	2.810397	3.626154	0.788451	0.427597	2.871755	1.375832	1.416175
0.019464	8.509609	0.837094	0.809781	3.267085	5.527567	0.610455	4.90162	0.175666	0.50129	4.819409	0.496122	3.039331	2.84152	1.544806	3.061294
3.44785	1.175587	0.924431	5.199584	21.117021	64.321679	12.513451	7.298643	2.30358	2.527777	18.938821	0.702623	2.473949	4.462684	1.542475	3.967994
2.120538	0.45599	1.145355	1.655362	1.100423	1.550851	5.832071	0.321582	1.974114	1.159204	2.014067	2.679924	7.254415	3.793377	2.147618	4.998723
3.051375	3.079192	1.819019	1.860195	7.955433	7.294963	3.609809	5.904141	2.968808	3.247599	3.232338	0.964151	2.905911	0.182394	2.014145	0.187092
2.518381	12.070445	2.596669	3.241847	9.286784	30.160234	0.825173	2.443335	8.141553	0.66506	10.661654	2.626011	4.813359	3.871148	0.229619	6.392076
5.996709	1.864936	2.783086	12.228115	5.629755	2.861421	9.205806	9.872908	10.864944	8.286793	2.780046	1.038517	5.692604	1.23224	5.384591	2.762428
4.957228	2.016952	4.307253	7.229572	0.776599	8.0021	2.977796	1.989964	6.355728	1.509654	0.613272	6.534812	2.244937	6.799794	0.983697	1.196928
0.977297	2.711962	3.060883	8.703179	0.693165	2.239244	0.612149	1.236029	0.899482	4.209837	2.970966	3.59061	3.098916	2.235739	3.371311	5.736216
0.008558	0.042096	1.959308	5.355851	0.579259	0.463745	2.756588	0.622073	1.332065	0.842562	1.324712	1.092456	2.453412	0.779175	1.541734	1.071731
6.494163	8.543938	5.034817	7.673225	20.165287	13.537579	0.357463	3.363672	3.271951	4.47118	0.159607	2.011225	6.739752	6.623882	5.002565	3.846436
1.275832	2.89035	0.581558	0.485177	1.248052	0.630621	7.667061	11.09706	1.735316	2.151009	7.288338	2.992152	7.596449	1.536285	3.809209	1.518005
0.213655	0.037588	0.109439	2.015306	1.358647	1.53964	0.434298	1.034803	0.407654	0.007834	0.144111	0.218769	0.541017	0.254969	1.509251	1.107347
1.685765	3.909269	6.74028	4.674857	2.009053	2.446337	0.75708	5.015597	2.563867	2.650391	1.229447	6.274547	3.735074	2.241688	1.836674	3.768744
0.555945	3.049048	3.569088	0.612513	1.55198	1.748138	14.210579	3.964637	0.154715	1.182678	1.259085	1.396224	1.107166	3.320746	0.039143	0.416197
6.097676	0.929593	3.653367	0.782505	0.963685	0.583518	1.169943	5.392705	4.555127	1.756105	0.380075	0.204402	1.981383	0.994026	2.403703	0.081169
6.507993	2.748331	4.09147	10.205352	3.39722	3.546857	4.280574	6.186622	9.293645	5.315954	1.133902	5.927293	1.701564	1.482139	5.495031	2.366854
0.376315	1.216948	2.029738	2.077281	0.489952	0.106172	0.349918	0.239316	0.641463	2.12962	15.940261	0.826075	0.06197	2.396591	1.915178	4.184472
2.461414	0.061715	2.722216	2.14813	0.691185	0.43613	3.184384	2.576144	1.600356	7.616249	11.153689	2.55041	0.730619	0.920688	1.070596	0.177273
0.700933	0.192353	4.066491	1.605621	1.993865	0.006107	0.768763	0.761065	1.771622	1.923041	7.189859	0.794135	2.196338	1.74238	0.77276	10.560598
1.743916	0.71293	0.121661	1.819624	1.139308	2.925914	0.673834	2.22585	0.907189	0.1063	7.644451	0.193127	1.941126	1.338027	1.534398	1.556797
2.084892	0.411503	5.264142	5.496214	5.846801	2.736138	6.038184	2.341331	3.345106	1.109469	0.1118	0.710413	0.117649	0.915412	2.15653	0.804531
0.380838	0.001335	0.908605	1.957107	0.116502	0.455197	0.620814	1.582496	0.039856	1.028518	1.539898	0.025945	0.525558	3.309823	0.989286	0.720998
5.39767	2.842344	4.340319	2.825716	1.951383	2.338968	0.156944	1.264009	5.239989	1.071931	0.048521	3.652532	0.692925	1.172371	3.534941	0.776896
2.701205	5.39373	8.434133	7.492649	8.015827	3.257546	0.16831	0.796304	2.601256	9.12218	0.25486	9.388874	6.264408	0.669228	0.87068	4.580302
3.70493	1.013226	13.432004	16.800623	11.393835	9.690143	0.234007	1.523658	5.243084	3.13278	7.695901	7.345349	1.316193	5.517544	0.338721	0.340083
0.055896	1.132	6.739941	12.002179	6.983365	1.007627	4.980306	0.089472	0.442495	17.373707	2.083674	6.175777	1.552241	1.894088	4.687482	0.081552
0.86847	0.685456	0.293832	1.707791	6.440777	7.115335	4.655922	0.478867	1.794975	2.278145	4.480238	0.24398	5.256512	7.545084	0.491389	1.48409
