DorsAttnB-ContA	DorsAttnB-ContB	DorsAttnB-ContC	DorsAttnB-DefaultA	DorsAttnB-DefaultB	DorsAttnB-DefaultC	DorsAttnB-DorsAttnA	DorsAttnB-LimbicA	DorsAttnB-LimbicB	DorsAttnB-SalVentAttnA	DorsAttnB-SalVentAttnB	DorsAttnB-SomMotA	DorsAttnB-SomMotB	DorsAttnB-TempPar	DorsAttnB-VisCent	DorsAttnB-VisPeri
0.074185	0.624978	6.839746	0.731077	0.157888	0.334399	1.921092	0.254719	3.442406	7.650142	0.244617	2.876472	13.185251	0.802104	5.387871	0.549764
6.823007	16.740047	8.871868	4.259033	1.024677	1.729419	0.915786	5.602812	12.315856	1.317627	9.91436	2.814744	0.135736	0.866177	1.505015	2.713804
5.318245	5.21633	10.414431	2.997018	0.90001	3.723099	6.618614	12.501919	10.044505	5.464479	7.293909	3.886347	8.181737	2.268752	5.709083	4.413754
1.473145	3.571035	1.69394	3.051815	2.987907	1.165242	1.630844	4.433512	5.092567	0.208475	9.146928	0.718489	2.048004	3.199924	0.215048	1.286378
0.797597	3.555187	0.137109	1.720761	0.186065	0.217327	2.859093	5.052784	4.662863	0.242618	3.366783	0.25138	0.295902	0.658319	2.59197	1.423966
3.273968	0.75036	1.034782	0.933855	0.094779	1.057049	7.32025	0.940701	0.71823	0.866036	0.302677	1.185939	1.642715	0.828221	1.564408	0.691406
5.024474	13.218845	0.429225	0.449922	0.594312	0.516626	0.644816	4.296127	5.516346	1.763979	2.487017	4.821151	1.171376	2.620554	0.125706	0.965167
0.624033	3.45728	1.295981	1.425401	0.362522	0.31116	0.191692	4.794932	0.981152	2.571326	5.704499	0.235214	1.190753	0.91116	1.560816	2.608399
1.256237	0.760723	1.120124	0.605575	2.456994	0.506392	5.431556	2.634275	0.343117	0.059583	1.918506	0.071973	2.803702	0.154283	0.047958	0.068476
5.114804	9.689286	6.710054	2.814029	0.201758	1.808628	1.606902	4.305733	3.273603	1.726226	3.740955	6.65758	6.811263	0.853388	1.367021	0.038013
3.847305	6.347658	3.960802	1.965522	1.422498	0.107615	5.397457	7.504903	8.453573	0.513006	5.939027	1.48562	3.844995	0.244764	8.379736	2.486286
0.03654	0.588353	1.266675	0.810263	1.545806	1.760326	1.612315	1.146817	1.677852	2.964867	3.702998	0.056637	0.214121	0.848437	1.48975	0.057648
3.365158	2.051641	1.130325	0.642394	1.275247	1.403684	5.167402	6.147317	4.642096	0.452022	0.492127	2.119718	2.894582	0.671933	0.657495	4.006515
1.747091	6.752979	0.338086	0.060959	0.149138	1.899291	8.518171	1.686737	1.503578	0.536918	0.120317	2.89714	0.053121	3.984954	3.149916	5.14342
4.025453	4.062903	4.233505	5.015204	4.750349	0.465956	4.28915	7.257867	2.613035	4.106414	2.382416	0.752199	1.015125	2.061016	0.852753	0.42844
3.999859	0.896867	0.515417	0.771895	0.162874	1.16898	2.565029	3.26185	2.868417	1.528379	2.370129	3.987593	0.653728	10.0345	6.31	1.928011
0.718424	0.336915	1.305912	0.642736	1.35871	0.102557	0.130623	5.018968	11.586697	4.497767	3.863176	1.576535	2.609935	1.336289	1.120461	0.656122
2.3068	1.363703	0.734756	3.643291	5.341711	9.002166	7.386123	2.255443	0.024975	5.92041	1.451909	1.043703	3.149681	6.049672	20.599639	1.479819
0.734586	1.765637	0.072593	0.587073	5.631604	3.649573	2.824148	0.031961	5.449281	1.64969	0.416087	0.156676	0.927411	1.29271	1.360391	0.164684
0.856559	2.512103	0.773396	1.095835	0.017083	0.095526	0.020636	1.966276	4.033281	1.722589	3.795695	0.985678	1.276065	0.839534	3.467416	1.142247
3.145808	8.617813	6.700751	3.137763	1.904448	0.826794	2.713984	3.221102	1.102361	0.066851	0.362423	2.156204	4.078193	1.751651	5.391235	1.730806
4.508284	0.07668	0.93403	7.379699	8.450448	10.884118	4.146972	0.866997	0.703532	6.036565	0.758596	3.206056	1.87858	3.004212	1.202943	1.748057
4.801384	6.213498	1.810846	0.461113	1.181008	3.377303	2.961396	6.812378	0.509294	2.006077	2.667898	4.661235	7.342438	1.840675	0.42971	0.836104
2.486665	0.600064	2.990961	0.427464	3.546173	1.37066	1.82387	2.808472	1.134167	2.497158	3.804595	2.433424	0.301488	2.627783	2.841894	0.21034
4.233042	3.993618	0.646303	2.561669	4.517097	4.544812	2.420438	5.54469	0.958557	0.1086	0.056655	2.18244	3.255974	0.662436	3.878829	3.274142
0.318351	0.3148	0.930462	0.118323	0.532411	0.088064	1.505508	1.485169	0.201225	4.606736	0.856549	0.276848	1.233091	0.634143	11.826225	0.675462
10.262059	0.366831	0.428731	0.63478	1.514325	0.764504	3.030151	16.187278	5.016317	3.265198	5.655867	3.925949	2.036318	0.586742	4.338762	1.774709
3.027401	8.884761	2.813491	1.517324	0.434587	2.627247	1.587673	8.146715	0.94242	0.747186	1.595825	1.45126	1.251809	1.741788	1.836928	2.304686
0.813288	2.768303	0.204259	0.113557	0.484102	0.937226	1.003845	2.083606	3.818383	3.366197	1.085048	0.609256	0.202327	1.239432	6.006246	0.312907
3.325174	7.379625	11.104709	2.839507	5.626927	10.062233	1.362976	2.798704	2.271739	2.437728	0.496161	5.954695	16.792419	5.904141	0.208616	3.998504
0.071353	2.52307	1.192664	0.334691	0.229175	1.134217	4.150946	2.007587	0.730142	3.30903	1.378599	8.22463	9.724511	0.254653	13.130249	4.707249
0.824704	1.7574	1.140873	0.559897	3.14415	7.440467	6.197184	0.751495	0.654532	1.464835	0.865146	2.713908	1.392906	3.246786	0.942016	4.628731
5.756603	3.14735	3.702374	5.978191	1.294428	3.445979	5.275932	5.737679	9.271655	0.47968	1.957979	2.61818	4.302398	2.100958	1.299234	6.208237
0.903888	2.388039	0.424689	0.545635	0.975491	1.466489	0.120543	0.176521	0.608201	1.809074	2.210577	1.731605	2.430104	1.993491	3.399784	1.011847
1.324594	2.806733	1.75801	1.305626	0.985076	0.411909	2.464848	1.138412	0.469413	0.051509	3.111098	0.38386	4.022473	0.032624	1.919068	0.25134
1.313364	0.505678	0.720347	0.771119	0.248001	1.20682	6.92998	0.139907	0.106155	7.060321	1.369582	1.283796	1.568261	5.185617	7.789131	1.833203
3.484	4.212141	2.229118	6.558131	4.400521	8.287164	1.24462	6.047589	2.958712	1.513826	7.790402	6.104343	2.698617	1.400131	1.892077	2.147772
2.260019	2.841983	6.866848	0.097925	1.96943	0.372318	1.040477	6.671522	3.72	3.405456	2.264088	0.962822	3.873288	0.946947	2.239302	0.535157
