DorsAttnA-ContA	DorsAttnA-ContB	DorsAttnA-ContC	DorsAttnA-DefaultA	DorsAttnA-DefaultB	DorsAttnA-DefaultC	DorsAttnA-DorsAttnB	DorsAttnA-LimbicA	DorsAttnA-LimbicB	DorsAttnA-SalVentAttnA	DorsAttnA-SalVentAttnB	DorsAttnA-SomMotA	DorsAttnA-SomMotB	DorsAttnA-TempPar	DorsAttnA-VisCent	DorsAttnA-VisPeri
2.527374	4.874349	2.199589	0.397399	5.365595	7.303288	2.841302	0.962382	0.783406	0.525259	1.334525	2.062447	1.490288	3.05688	1.454157	0.172675
0.872861	5.547591	0.605975	0.49619	9.244568	3.486432	5.992614	2.37404	1.198704	4.115412	0.584438	3.086642	6.644179	3.226538	0.226707	4.673975
0.075848	1.682943	2.735493	4.086146	7.828406	3.335496	11.554656	0.010867	2.290639	10.53157	0.200068	0.194574	0.712199	1.63394	0.100073	1.527265
0.388617	5.123688	4.750515	3.451054	3.396243	1.49961	2.227745	1.901261	6.314116	0.374129	0.739578	1.955805	0.200443	0.356571	6.167249	1.135876
0.278283	1.460583	0.127053	6.291221	18.560088	15.437818	17.293883	2.315801	6.453387	6.085919	3.08035	3.691442	1.92668	8.956557	0.265466	3.427413
0.106833	1.758179	0.714935	2.370245	4.19268	2.921231	5.459075	1.214059	0.718352	5.183466	0.508979	1.729515	1.110202	0.475719	0.136798	1.541834
10.800415	4.383703	12.625083	12.673025	11.357391	13.738137	1.005427	3.340668	3.394865	1.697868	8.453824	5.917554	26.869071	12.234596	1.305102	0.039861
5.824212	0.759886	2.076762	9.31109	22.939152	18.798882	13.817044	0.570722	7.355349	0.771106	1.600355	4.407445	1.733971	1.825562	1.815596	0.083852
1.805619	4.307484	4.478067	3.418598	2.717694	13.242438	15.306415	1.751361	9.407989	8.354077	0.970886	4.181104	0.106777	4.446415	1.154094	3.898865
1.57797	0.766072	1.035076	0.868515	8.147768	5.766462	4.01622	1.360625	2.441342	1.989586	0.391625	1.941433	0.583241	2.296161	3.565399	0.259903
1.46107	2.786873	2.590972	5.968082	6.198237	1.43963	7.374099	1.647913	1.963336	2.146789	0.554401	1.020405	2.584006	2.748177	4.64925	1.058002
4.321448	0.20897	0.878892	1.314245	2.134302	0.733474	2.258599	4.102203	2.702607	6.761899	1.574114	2.10282	0.131228	3.499064	1.619874	5.239386
9.876556	2.674039	5.109581	10.636682	16.523351	17.913159	0.807653	1.765972	6.204787	9.989116	0.632018	0.929583	0.047792	13.810743	1.392776	0.001498
2.960775	1.373305	4.193257	3.049136	1.022643	0.605995	15.428256	2.810683	1.651343	1.376842	1.061594	3.088952	3.062304	0.309593	2.036457	4.24575
