SomMotA-ContA	SomMotA-ContB	SomMotA-ContC	SomMotA-DefaultA	SomMotA-DefaultB	SomMotA-DefaultC	SomMotA-DorsAttnA	SomMotA-DorsAttnB	SomMotA-LimbicA	SomMotA-LimbicB	SomMotA-SalVentAttnA	SomMotA-SalVentAttnB	SomMotA-SomMotB	SomMotA-TempPar	SomMotA-VisCent	SomMotA-VisPeri
15.499424	27.551817	9.86899	15.730147	22.164688	8.561973	2.02838	3.720294	18.289316	16.563289	2.610084	24.346858	3.400563	3.798895	0.39828	14.036989
23.822652	17.115106	1.612405	15.341375	14.582459	5.031745	1.793492	1.073197	14.232588	22.032811	2.547453	15.427803	6.659768	8.385056	3.135872	16.532848
0.473662	0.582942	0.239561	1.015248	0.543843	1.296595	2.176125	3.605336	0.729414	0.828283	2.815351	1.729921	1.487509	3.385696	5.672564	7.645783
1.780408	2.860283	1.339521	0.145566	0.377441	10.062773	0.10982	2.485185	6.299447	8.591175	3.370768	7.568297	8.410832	3.824585	1.836289	3.162857
12.700926	10.610389	1.972959	4.605315	3.926376	2.894102	0.148978	3.250503	8.940723	10.705694	5.913798	11.92538	0.299233	1.481195	0.960454	8.27225
23.179618	14.794674	1.152553	1.600836	15.803677	7.877152	7.28736	7.329002	23.585234	9.392618	0.602655	9.384685	9.280182	3.384507	9.897036	8.531263
8.328017	11.829725	1.895349	0.569939	1.50164	3.773603	9.968982	1.980096	16.18654	14.900738	3.220235	13.888071	0.530197	4.586385	7.10866	4.435783
15.511435	3.838722	0.466553	1.342723	2.257026	2.72747	4.697278	0.894232	12.106137	6.907163	1.21202	6.015914	2.851054	1.931218	15.717752	4.912052
8.248236	11.144206	0.954575	0.612203	1.190307	5.989043	0.058027	0.976542	10.023832	10.376655	5.182371	4.17558	2.696639	16.751501	8.783021	11.835113
3.967394	5.062006	8.561735	7.615015	5.715516	8.876019	1.32649	2.215343	10.315488	7.05193	3.021567	5.218058	2.804865	0.54117	1.932231	2.509828
0.82141	11.374856	1.716337	1.131573	15.450283	4.746177	5.378408	1.478213	1.68407	0.849494	0.367822	1.535742	2.857578	8.021907	7.49829	7.626613
8.96374	12.78573	5.63524	5.272376	20.984948	15.104055	1.322605	6.385485	15.046084	12.595671	0.603405	11.408783	11.087725	7.214613	8.024932	8.838025
0.387307	4.596504	1.882655	0.836727	17.60989	3.599646	0.971834	2.37939	1.728263	11.377486	0.676506	4.854516	0.899811	2.890169	30.668837	22.15059
2.340238	4.580913	1.19548	3.073858	3.978697	3.023119	1.901117	0.588444	0.474919	3.62123	0.817065	2.894146	0.672002	5.486375	3.0952	12.645601
28.519769	20.971338	5.799996	5.629764	8.490296	5.244552	4.327072	3.106557	23.56085	28.86631	0.447677	15.562656	6.081881	8.711228	25.402842	28.275113
8.124402	11.076411	1.468349	5.333984	5.376787	0.241053	0.367878	0.467873	10.404341	6.407142	0.647697	5.316678	5.120835	0.43829	11.679827	7.391534
9.399053	24.089773	3.040262	5.73315	9.956734	9.053965	5.082581	11.068241	18.647087	17.421954	1.141601	21.493787	2.93791	6.846897	0.553981	1.804574
2.919689	14.054245	22.261505	20.946176	7.192257	0.865911	0.2292	2.119257	15.394384	11.227781	0.63072	5.888754	17.138657	0.261411	19.139113	26.853633
4.643393	11.470469	8.311787	12.460483	8.335665	10.278976	2.053669	2.485987	6.393184	11.508828	0.449957	4.211361	3.865483	3.936173	7.265002	10.97927
15.705841	10.299215	4.895426	0.455659	6.613254	10.070492	0.323683	5.633742	16.453463	11.051452	0.415218	3.03462	12.727093	3.040013	1.538995	9.573498
12.516961	18.05531	9.796203	10.539486	16.579356	8.183217	1.461928	1.580137	17.424362	8.530346	0.096492	15.961914	6.942029	2.223148	22.420861	21.289369
13.194598	20.297602	3.803809	5.892296	7.238522	7.955286	1.610114	9.926572	13.511677	8.99377	0.171123	6.232295	15.611654	12.876044	4.397851	22.978364
12.034352	31.739225	9.512409	26.948615	28.020212	27.005761	16.409646	21.060624	19.554823	17.81954	1.776558	39.227242	3.037807	13.930244	9.140457	6.697305
3.57486	2.0949	1.541075	1.834184	3.271423	7.653781	0.142777	4.09764	2.669123	4.218222	1.006927	3.907276	1.033608	2.823532	4.700963	14.01672
12.161846	9.80557	0.294741	2.870489	11.766929	25.330179	2.104203	7.64936	12.377667	7.889562	1.605326	2.603137	0.357237	6.132095	5.240171	18.082727
1.140711	0.125091	1.533748	0.795084	1.775361	0.068591	2.160852	8.759396	3.409312	9.980586	3.39203	10.987511	1.420981	0.906899	9.148162	2.933043
7.348247	14.092856	0.429405	1.577419	8.966535	3.166373	0.793213	3.460497	9.474677	6.589062	0.042017	13.015162	9.219102	2.991397	3.551912	21.831902
6.992582	10.279537	1.49989	0.456526	2.08621	7.036948	4.534994	10.676339	1.824028	1.202092	1.204649	0.060566	4.016722	8.396317	7.804427	6.577499
8.592583	3.954322	1.066984	0.630411	0.455635	1.168462	0.353221	0.62115	2.050051	1.471631	0.972541	4.655293	2.186745	0.49569	6.092906	10.598686
9.747428	13.303441	4.913726	6.037013	8.314442	20.159391	0.386842	0.433376	4.392857	2.328838	1.760493	4.397766	9.612958	13.198257	2.072131	3.781312
17.193616	10.565493	4.338949	7.16836	10.845146	3.371669	0.602952	0.044814	10.903378	3.893507	0.150262	6.194005	5.387923	2.094321	15.368838	10.84354
20.36497	21.576645	6.394687	29.615884	36.116931	14.284929	0.943779	0.272925	32.178386	20.994279	0.200657	11.167341	5.582417	4.32758	12.273548	10.364298
3.46099	5.052019	1.179322	0.558811	3.074008	0.334116	0.156363	1.577807	2.280296	1.91924	8.755379	4.519984	0.09179	2.146298	18.352748	18.518058
14.348097	13.640055	7.990093	9.327191	9.77046	2.579301	2.765681	2.948939	9.58545	10.284346	0.655111	7.325871	1.600647	3.115395	2.293095	12.363957
7.190814	5.21924	7.487289	7.3408	4.89725	1.146908	2.213515	0.461484	17.848928	8.406911	0.953514	3.20154	7.010798	5.558228	2.671918	4.311179
5.947353	7.166621	0.493407	0.68218	7.224059	8.879283	1.283164	2.035118	5.259965	1.465332	1.603758	4.701402	3.460402	5.199664	6.042353	3.910913
22.781305	24.005788	25.618181	26.209725	29.460082	7.235807	4.520032	4.837053	25.303734	33.421704	0.983191	23.664761	5.83589	2.820367	11.371791	13.153748
2.745943	4.389762	1.68898	1.442545	12.352396	2.65204	3.534374	1.838207	2.993605	2.946139	0.106178	5.86908	2.865299	0.543634	6.372665	2.185186
10.486397	7.411401	0.744844	2.912931	11.10831	8.045816	0.061695	2.424319	5.085037	6.828488	0.440201	6.270541	0.771144	5.273503	1.509114	2.267706
14.978687	8.368569	1.853323	4.611031	6.481123	10.853852	0.381795	0.983042	17.3632	17.462375	0.592672	12.190597	2.075397	6.928157	14.790567	44.636313
7.552678	4.341389	1.869041	3.24586	7.574565	11.492561	0.221696	0.678224	10.636171	3.650324	1.61441	13.464572	1.800003	7.643628	5.198733	17.761368
16.133709	17.252178	11.401021	16.911851	16.656036	4.060841	0.155914	0.548908	22.19333	23.766178	0.724014	19.211362	4.172437	0.687616	0.427412	13.42116
9.430129	7.694395	2.883777	3.158171	15.371564	10.092435	0.333709	1.891557	4.269225	21.411196	3.775127	19.351568	2.800924	0.060996	1.046321	21.573134
1.352764	5.025783	2.184454	0.187524	1.898296	0.86522	3.075369	5.249791	2.673262	2.987935	1.093209	2.723776	0.783224	2.419045	2.867778	5.304526
