SomMotB-ContA	SomMotB-ContB	SomMotB-ContC	SomMotB-DefaultA	SomMotB-DefaultB	SomMotB-DefaultC	SomMotB-DorsAttnA	SomMotB-DorsAttnB	SomMotB-LimbicA	SomMotB-LimbicB	SomMotB-SalVentAttnA	SomMotB-SalVentAttnB	SomMotB-SomMotA	SomMotB-TempPar	SomMotB-VisCent	SomMotB-VisPeri
0.686082	1.95184	5.198886	0.448723	0.100534	0.181816	1.515935	1.533566	1.072602	0.01775	0.774045	0.280285	1.591694	4.373651	19.074507	0.069679
2.148389	1.823168	2.412268	1.133005	0.250571	3.312062	1.168917	1.453743	2.455989	1.571464	1.811694	1.682328	2.253264	2.462632	1.593494	1.094129
3.321342	3.45291	1.016159	10.316334	10.341532	3.120879	6.439526	3.155946	0.910623	2.392235	7.074044	5.46377	28.250172	6.649438	9.970714	25.675039
0.361287	4.285124	0.206975	0.893275	7.858307	4.318117	0.202416	0.584814	0.307843	2.361231	0.536862	3.787568	0.989984	1.30113	2.119032	0.882657
6.219945	15.240814	20.005617	12.714884	15.966433	5.019751	4.390913	2.806774	5.019283	7.465053	9.403179	0.580136	7.436891	0.372886	2.487663	6.254291
0.852616	0.72389	0.980465	0.627887	3.737148	2.793409	1.471915	0.127259	1.071218	2.707852	0.062902	1.648255	3.502301	0.675362	0.192593	3.735207
6.729233	5.231215	9.821249	10.803962	18.382428	9.983964	7.524154	2.473182	9.093638	8.04765	0.392793	5.245021	9.778975	7.678002	3.315821	7.842139
1.229465	2.81332	2.359922	0.451446	0.236811	1.681396	0.082156	3.490658	0.79689	0.155431	2.539513	0.857143	0.329715	1.837936	1.415866	0.319292
9.51493	9.742133	5.113333	5.329994	3.75218	3.970063	1.455818	8.271868	10.218805	3.712172	0.980927	4.53453	4.025069	0.32457	1.94934	3.105716
0.581516	0.935902	4.841684	3.578159	1.930287	0.115083	5.311645	1.031512	1.821826	1.924603	3.365781	1.775167	0.496174	1.734301	2.51375	0.926768
0.244535	3.67241	0.202858	0.024982	0.013021	4.209713	2.194781	0.241673	0.133642	0.352821	1.03946	1.999188	2.425704	0.342678	0.4792	1.640168
4.510353	6.992697	5.209223	1.364622	1.747504	1.566891	0.744335	1.095419	3.781899	4.280944	1.386286	5.760623	2.193213	1.572315	1.235971	0.668134
5.384898	3.537823	3.860273	2.590422	8.108175	7.08611	1.674048	0.576199	7.093028	5.367847	0.283486	5.011614	3.357539	1.83479	15.165047	3.85072
6.141282	7.754752	9.657122	11.57809	11.246652	13.277867	0.544694	8.259608	1.238984	2.197124	1.908742	1.196949	7.272932	7.473491	3.224415	5.065173
4.859347	6.037073	6.26587	10.566583	12.556107	12.341576	3.922912	9.120566	3.861361	3.230468	5.413469	9.014635	2.019209	6.271504	4.468043	0.714214
1.835538	2.511496	2.246686	1.287719	1.348374	8.437027	0.313236	2.254346	1.390706	0.551319	1.558158	0.604366	1.815384	1.914748	2.824112	0.137221
5.490722	5.010652	0.634627	1.302057	3.67976	4.812584	0.156981	1.505599	4.01482	1.785807	0.431282	2.146684	1.389272	2.397223	7.174943	2.019011
15.742282	9.587407	13.771359	12.041192	8.599506	0.358182	0.053018	5.717563	12.940942	5.771728	1.452165	5.404841	1.158539	0.447054	2.846563	2.251285
5.413227	7.393762	7.870684	10.412986	7.907764	4.523444	1.696492	7.507565	3.262684	2.705748	4.13492	1.879155	7.729236	1.534886	0.860357	4.160348
10.447702	5.706855	7.106592	5.634444	13.931852	5.9619	3.811523	8.405931	8.578789	8.927469	5.282746	5.653157	4.994411	2.264491	2.53225	7.280571
7.97774	4.635282	2.784705	2.187633	3.703009	5.956509	1.634576	1.133726	4.034562	3.671565	0.434266	4.01527	4.273266	4.078298	1.029478	3.644706
3.67405	3.782044	4.695012	4.636017	4.059747	6.076722	1.173605	0.909561	2.870506	1.071572	3.361431	3.673537	1.013938	4.843683	2.112339	0.245507
8.62785	1.169924	9.722449	10.822436	3.185378	0.302849	3.031851	3.045881	3.270915	5.816766	2.737886	5.612333	2.870673	2.430606	9.176591	1.514541
3.240107	5.851194	8.402381	11.039321	5.381846	0.367943	0.318306	2.569519	2.443096	3.141014	4.414621	4.997337	0.882943	0.446597	7.554447	2.034952
1.862171	2.277256	12.709754	9.323341	7.950525	3.780281	1.180972	2.955033	0.877993	12.849803	0.075691	6.0992	0.112641	3.407829	0.29517	0.447266
0.725548	1.138945	7.667576	2.845707	2.534936	3.587624	0.998801	0.770038	0.235329	1.222827	0.28348	1.431811	1.416542	3.93598	1.397881	2.434867
6.785584	4.157252	3.115457	6.012514	5.561065	0.263445	3.387807	0.536661	5.639157	9.632728	4.253554	0.444526	3.780865	11.399484	3.241344	0.770378
1.365337	5.543064	1.297531	1.651877	7.575022	4.493573	4.507151	0.640556	1.348213	0.291803	5.794053	0.280463	1.626282	3.926359	3.479532	0.598402
3.71244	1.766441	7.354256	5.835415	5.755848	1.232083	6.235801	8.234194	1.293602	2.927728	0.054785	4.127829	1.53925	1.35506	23.906253	1.623496
1.98262	2.325601	0.144589	0.842539	5.710461	11.894115	1.133225	0.330407	2.326095	1.841595	1.4557	0.876034	0.053683	9.875083	1.718615	0.536731
0.249796	0.539393	0.338377	2.604987	1.562871	0.640294	0.042449	2.107402	0.616063	2.560277	1.089427	5.747363	0.37418	0.455582	0.012522	1.441776
