LimbicA-ContA	LimbicA-ContB	LimbicA-ContC	LimbicA-DefaultA	LimbicA-DefaultB	LimbicA-DefaultC	LimbicA-DorsAttnA	LimbicA-DorsAttnB	LimbicA-LimbicB	LimbicA-SalVentAttnA	LimbicA-SalVentAttnB	LimbicA-SomMotA	LimbicA-SomMotB	LimbicA-TempPar	LimbicA-VisCent	LimbicA-VisPeri
0.217123	0.663615	0.857605	8.888404	5.269539	2.273219	7.760965	9.298227	10.952778	0.777985	1.346397	18.496074	5.591525	1.902646	2.082372	3.0986
3.402316	1.502063	2.55743	0.394834	2.642516	4.134998	0.492544	4.237872	16.595754	2.325416	2.757098	3.03785	5.665902	0.431433	0.141951	0.452943
7.825092	2.760342	2.640594	3.529669	13.75723	5.667147	2.533926	0.08761	9.165017	0.817867	8.862883	4.139551	1.587862	2.881682	1.419713	3.261417
11.710562	0.505942	10.504427	6.942261	7.154123	2.032873	0.531277	2.643899	15.142835	3.041967	10.503378	3.371585	1.15606	0.466458	0.752563	2.031124
17.160882	3.789742	2.610688	4.622013	3.064352	3.911795	1.481218	3.376509	10.14405	1.740619	6.299873	12.640981	1.067254	0.071347	2.91944	14.125796
22.347383	13.917636	16.256839	3.903813	2.550125	9.974466	0.067233	8.890847	12.030089	17.429236	8.714183	4.207246	1.045206	3.81599	5.238866	2.899325
19.8686	5.26283	1.250984	3.252415	1.423951	0.807386	0.138346	0.922069	9.285817	2.256282	12.262949	4.546651	8.132064	1.56035	1.660979	0.473107
13.804075	7.37599	9.770357	17.755323	21.954452	1.853676	0.883892	1.907634	13.021923	0.637819	2.772037	9.919852	7.760954	1.749803	9.603155	8.005818
8.881023	4.533199	14.425262	17.04288	5.469457	1.278757	3.837282	8.548291	17.838903	0.02158	7.682956	1.365725	4.383824	0.123593	6.050786	1.252415
10.30426	1.637602	0.07563	0.820589	1.396951	0.951507	5.247924	8.17163	8.026219	8.786391	4.222644	4.339262	0.40542	0.712952	1.638807	3.423578
7.292225	4.627282	6.632626	1.846492	3.696634	1.069668	1.013235	4.294035	5.530274	0.323845	15.605541	1.066608	0.932791	2.448323	1.818595	0.048666
14.619193	8.510842	0.185509	4.4247	5.393777	7.746729	0.971547	4.489558	7.294803	1.251936	2.886589	9.174496	1.656026	0.071279	0.010309	3.824683
9.474932	9.858236	10.733191	12.091331	5.861332	0.30853	1.221776	7.378346	9.420517	0.525814	5.98851	10.258398	4.363577	0.333834	1.181937	1.66807
21.078085	4.788776	2.622083	2.955908	4.187032	1.176151	0.066924	5.341438	14.179288	5.956681	5.893476	3.57483	0.508175	0.814813	1.253095	6.542531
21.602228	6.3219	2.816003	0.224658	5.358861	0.683927	2.328344	0.543069	18.265225	0.364202	2.220272	5.668788	1.201767	0.715843	3.737519	1.750352
17.138027	5.727548	2.342618	3.737255	2.459499	9.900215	1.005734	0.948917	11.079698	0.734076	5.449647	0.882445	6.051898	3.08552	0.813495	6.447325
5.842813	1.160661	2.826074	4.068834	1.91655	1.068833	0.171094	0.926765	11.12879	3.190049	13.280065	0.801549	5.283019	1.400624	1.529211	0.456502
27.976692	23.092259	1.67041	6.86487	6.433432	0.004297	0.722392	0.110151	16.415846	2.78719	14.830975	9.844341	0.984916	3.628042	0.158298	9.555731
17.98307	6.685721	2.478295	5.396698	7.460819	5.195219	1.000849	0.326861	23.693406	3.319634	9.055028	6.577514	6.971154	0.337597	0.584772	7.799532
17.990235	1.532079	3.224783	5.36929	3.854805	0.361706	0.114876	1.591082	4.119694	0.864025	4.815282	0.473794	0.868767	2.863106	0.438017	1.455155
15.071768	2.182609	8.029183	6.081637	3.424455	8.814589	0.979689	1.611708	7.167848	1.833908	3.685799	1.578476	1.616187	9.366204	0.336688	0.652342
1.387032	0.971379	2.856135	0.539274	0.645663	4.761084	2.800984	0.990566	7.065773	1.216102	7.760802	2.135239	7.539903	10.086989	1.554745	3.718483
22.06758	6.477792	2.431684	7.423205	2.411854	2.736938	0.482132	5.762146	23.017993	5.212875	14.457729	6.100597	0.570235	1.095868	5.017647	1.6694
2.257808	1.495235	5.701477	2.457648	15.289672	7.913694	11.102434	3.797015	15.285398	0.138804	8.823628	2.459334	4.908109	1.407194	6.906869	3.083457
20.017212	4.833742	0.413146	2.811825	0.355313	0.680384	4.351985	2.041655	16.088997	0.122373	2.839043	6.785784	0.319221	1.132084	0.359271	7.81289
18.326406	12.078446	0.472677	2.222986	0.848105	1.276641	0.788337	0.547203	6.331166	2.288556	8.483034	10.181496	1.967781	0.115592	0.384531	2.105624
14.005408	10.566477	5.772354	14.982703	4.349344	1.639138	0.769342	5.591885	15.128306	0.497928	9.621156	10.820579	2.520033	0.397534	3.665009	5.252911
13.720672	11.09969	1.379767	11.925854	1.934719	0.228333	0.881322	3.270124	13.772726	1.75929	20.233437	3.101117	2.695344	1.004598	0.673294	2.830047
13.782398	7.351366	7.833291	7.673976	5.913793	5.360725	5.211973	8.072944	0.554164	1.240944	0.047476	2.009613	0.33535	1.783734	9.841889	2.68831
17.453239	8.323452	6.972962	6.242816	6.187573	0.545764	1.907136	1.534331	9.441469	1.810157	2.557909	7.422276	2.515653	0.12378	0.947833	9.652235
0.54824	0.121987	0.255841	0.166346	1.053824	3.389224	0.862319	0.118643	6.704578	0.228154	7.015503	0.161673	0.666586	4.876644	3.870811	0.075693
8.824532	9.07028	0.111581	0.416433	0.568691	1.491268	2.553418	9.865254	13.852775	4.223385	7.013144	2.547905	0.704043	1.263043	1.558925	0.012629
9.417004	0.444312	1.642867	4.915411	0.15491	1.372581	0.635236	0.58949	2.625357	2.848732	2.835604	0.333196	0.180472	4.735423	3.200238	0.659235
22.494166	4.237615	3.217121	4.399156	9.544305	1.77186	5.008905	9.215195	6.704104	4.719295	16.961181	2.575718	0.543908	0.629277	5.395106	4.75058
1.123857	4.38035	7.494234	2.025998	4.64319	0.045855	4.589813	3.323079	14.042374	0.142987	13.326218	2.30962	3.504204	6.885826	3.374054	0.66127
12.70611	10.663856	0.359903	3.627757	1.345522	1.824838	3.315844	8.082876	10.768234	1.208489	10.793852	10.777947	2.090223	0.014627	0.157576	2.79964
21.804994	22.954145	0.58881	2.11042	15.560807	3.794375	0.402754	7.414589	9.02965	3.486588	4.112868	18.512136	1.07122	0.615133	1.177691	5.984893
13.144817	2.833225	0.233041	0.196	2.891831	0.910086	0.513701	0.603103	23.745521	0.947927	14.652896	6.686994	2.007398	1.70361	3.469818	3.71652
12.738295	0.814133	0.571398	3.42303	1.5577	5.455553	0.706555	1.12682	11.451239	3.974986	9.163875	2.98483	1.901452	0.065214	0.572973	0.82669
12.763213	3.817393	0.909826	5.498969	4.295673	2.033665	5.648199	1.634097	32.540618	7.744515	14.174373	23.131946	2.762493	4.493777	0.82877	8.654979
6.429501	10.087742	19.707252	18.983627	17.636168	8.405584	0.663173	10.865178	16.325892	1.696847	9.783428	2.047837	3.29983	3.142541	9.987125	0.675049
6.35162	2.350028	0.328447	1.810384	0.084676	1.034739	0.699854	0.902903	1.556286	2.007944	3.945781	0.763083	2.984698	0.287933	1.260198	3.959077
8.187274	0.830697	2.866932	3.218538	0.087337	1.352384	1.175554	2.357791	15.727288	4.704863	2.236772	3.770643	0.076912	1.707491	1.310173	1.918937
12.363598	0.18683	1.995415	2.718814	1.812896	0.564861	1.418295	1.129199	4.31873	5.733597	8.898673	6.925545	10.030805	1.340011	14.071931	3.248567
2.444362	0.308888	1.243408	0.352843	0.606859	2.590828	1.091223	0.541387	4.502325	0.643975	0.789987	4.020555	1.058365	9.627471	2.041484	3.432447
19.279068	6.471048	3.927057	5.485181	5.534108	1.003601	1.087202	1.742555	7.856287	1.43617	0.436537	2.056059	0.120862	2.090851	2.940487	0.42593
9.749541	2.097313	1.605276	3.049769	0.948032	4.160645	0.089389	0.614468	1.356113	1.714822	0.826325	3.125926	0.824735	0.409168	5.780323	4.156037
5.642731	3.179308	6.426485	6.143083	5.456908	0.263685	1.684614	2.201879	13.917817	1.726399	12.568851	2.014405	1.04188	0.808829	1.079635	10.672578
8.638758	4.60373	5.166471	6.465574	3.465256	12.582747	2.002691	0.020203	34.106917	3.24412	6.87759	9.779024	2.378453	0.965975	0.083955	13.065447
6.904726	13.67864	2.473001	8.104523	7.062583	1.015364	0.236685	0.688377	5.807012	2.751827	3.19522	6.00493	2.674002	1.182018	1.702168	2.646483
6.861563	0.588674	1.458025	2.66329	1.451598	0.576705	0.09135	3.395417	6.823775	2.961408	1.359449	0.583998	0.80696	1.030692	2.219951	0.060126
12.847669	0.363142	0.504253	0.062751	1.127413	0.049597	3.008875	0.304743	0.020014	0.037057	2.812792	5.775586	1.225346	0.433664	4.290177	7.510274
18.259382	18.353134	1.441063	1.007673	2.471216	1.012665	0.513038	0.636	1.457437	3.114761	0.100324	2.809642	1.331967	1.756474	0.718798	2.458913
15.006729	5.238923	0.109276	0.493627	3.563216	6.865738	0.138196	0.137305	5.888359	3.285534	2.059024	7.834624	3.271842	3.278655	0.18954	3.844001
4.743207	1.432019	5.073063	0.753149	0.032665	1.727424	0.107257	0.873032	10.034089	0.970621	10.054583	0.911704	0.237781	11.204029	0.136925	0.413315
21.735054	2.886985	1.645879	0.015998	2.502757	1.888733	0.635338	3.876825	10.599991	0.674295	0.350838	2.535968	0.471815	1.030538	2.737293	0.950765
15.860071	0.84747	4.334491	5.058514	0.674521	0.214141	1.462023	0.891302	13.354543	0.599889	5.482516	2.013318	0.178712	0.261854	3.967735	1.4931
6.567007	6.375749	9.250345	1.606482	6.69222	1.449605	0.009763	12.10635	18.875977	9.347615	18.990082	0.81339	0.067893	5.245068	4.758412	0.265914
10.812535	3.610527	17.402705	7.374466	9.28452	4.889814	2.435517	2.372962	17.52153	4.780268	5.798131	1.316443	1.122496	3.883809	3.185492	1.466623
14.572479	0.008026	6.297928	5.368949	1.340963	0.400001	2.292182	12.16987	1.86925	1.669783	7.396402	1.147121	0.133557	0.417493	0.999994	0.432009
20.288872	6.646078	6.39523	19.766158	3.310146	1.518873	2.960645	0.455697	15.799588	4.943705	15.524515	3.954621	3.952094	2.044469	2.05585	2.339211
3.179508	2.577798	1.64687	0.798365	0.530702	1.2854	6.40825	0.546971	3.658295	0.628059	1.501853	0.019175	1.218141	0.314111	1.474709	0.300372
21.396797	3.266975	6.527319	6.180127	3.601191	1.12617	0.306193	6.648628	11.566694	8.200525	7.112759	3.621793	2.764246	2.623042	0.081165	0.547739
10.430916	7.035895	0.822118	0.833287	1.341774	0.232817	1.21302	4.416599	2.064042	2.128234	3.32146	4.695797	1.463019	1.421023	0.549846	5.823255
6.366863	5.93361	6.524027	3.638568	0.571125	0.088589	0.481606	4.290278	7.945915	4.585678	4.201204	2.610532	1.147768	2.496062	1.200078	0.489578
10.754578	2.302238	4.074238	3.998096	2.414105	0.692194	1.329222	1.008548	6.487255	1.873936	5.833228	7.52555	1.329753	2.846895	1.076032	4.731162
4.20823	0.771085	1.965536	0.678387	1.109092	1.364008	2.086177	4.916902	10.098023	2.21241	3.561583	5.668189	2.420775	4.836869	0.74452	1.137135
8.83717	1.068713	5.42324	5.220994	0.096535	0.332372	3.81631	1.370014	16.419439	1.442179	6.63077	1.835958	3.707553	0.815952	3.071907	3.630215
9.423422	4.783533	15.267864	11.558809	13.326013	0.936553	7.846704	0.943579	48.77172	3.225809	3.731088	2.730666	2.314309	0.539465	5.791315	4.982905
8.926903	0.123409	1.122896	2.993991	2.849094	2.366928	5.067923	1.479572	20.472827	0.898264	6.924817	0.084736	0.149944	0.171388	1.035097	4.489646
19.024281	8.865581	6.070065	10.679117	7.509665	0.130178	0.572615	8.547719	20.147897	1.332816	11.693132	7.058538	4.70469	2.299655	0.355974	3.26898
7.690624	0.096139	1.033972	1.226805	0.648595	1.11032	2.1467	0.00928	12.439028	2.327429	3.680691	0.979219	1.748447	2.498988	2.488794	1.158065
1.33693	6.057247	7.410948	3.454976	1.370534	2.767152	0.480922	2.740481	10.107774	6.548586	3.842182	0.888246	0.022905	1.364554	0.889843	2.306273
6.086607	4.453828	0.750919	0.684591	0.828125	0.038551	0.784361	0.120398	2.122309	3.572647	4.542732	0.189129	0.550146	1.316437	1.338292	1.553983
8.016361	15.236675	0.28176	2.252428	4.576519	4.6921	0.681717	1.086114	2.831475	1.202533	0.468293	2.312798	2.544709	4.424643	0.485332	5.788681
6.373072	0.238353	2.611808	10.009903	7.199298	0.238901	2.656271	1.489193	20.357394	0.426557	13.082325	0.58479	0.307543	0.029875	0.325059	3.897021
5.941339	0.767546	5.497841	4.400416	2.932193	0.705886	2.729456	1.155084	17.63426	0.722945	14.667687	7.424695	1.709373	1.59198	2.127176	1.231331
10.174394	1.038709	4.735097	2.503831	1.195082	6.593708	0.372798	5.613222	21.676908	7.52152	5.950045	1.933298	4.513808	0.102304	0.740073	0.658836
13.25478	5.771151	1.2539	0.752319	1.280729	0.654712	1.410706	0.07442	1.738582	0.114186	11.651307	3.895621	0.295464	2.386819	0.220956	1.844011
14.830288	7.546944	1.759932	1.427132	2.186186	0.249866	0.537186	6.008226	4.743293	0.749218	2.820249	5.279605	2.791412	0.838288	3.645842	4.473185
12.895304	7.11073	2.54247	0.914148	1.129187	0.271873	0.280993	2.968244	8.806363	5.390461	11.278113	2.403378	1.565804	0.230734	0.046777	0.142953
3.062051	2.176609	2.694456	2.300318	1.786586	3.212261	0.289977	1.67155	7.984329	1.55158	4.896641	8.303806	0.312303	0.157713	6.299076	1.308155
10.689624	6.28787	4.636751	3.538846	2.742506	3.679958	2.296759	0.908336	13.147296	2.728473	4.21188	5.776956	5.572477	1.747368	0.382824	4.19794
15.817358	0.949059	0.775216	0.051347	1.198552	1.122473	3.060001	0.941417	1.694908	2.054219	2.448153	0.909202	2.393988	0.851595	2.404795	3.268108
10.913717	2.016939	3.136252	8.259512	1.996513	0.314133	4.497873	0.359385	19.359304	12.259484	6.83498	5.791542	2.549527	0.911628	1.010605	1.241696
