DefaultB-ContA	DefaultB-ContB	DefaultB-ContC	DefaultB-DefaultA	DefaultB-DefaultC	DefaultB-DorsAttnA	DefaultB-DorsAttnB	DefaultB-LimbicA	DefaultB-LimbicB	DefaultB-SalVentAttnA	DefaultB-SalVentAttnB	DefaultB-SomMotA	DefaultB-SomMotB	DefaultB-TempPar	DefaultB-VisCent	DefaultB-VisPeri
3.047852	5.275641	0.424505	0.125882	2.979373	0.898912	1.172843	0.499356	0.40242	3.287818	0.202831	0.017477	0.47934	0.294566	1.147373	0.85819
4.262058	10.060798	1.437124	6.735158	10.854918	9.656021	0.364193	1.56816	8.63501	3.911087	7.709673	4.159361	11.585915	9.261579	9.067533	4.650397
1.432118	1.902907	1.342806	3.115577	5.649982	1.201986	0.169501	1.84059	0.093039	1.001427	4.518808	0.497473	0.978902	10.127771	3.954549	0.14547
3.689521	0.190605	1.454674	1.36827	5.551949	5.45446	6.664955	7.818103	15.107575	1.184759	5.966474	4.860774	12.372146	3.329656	1.417705	2.507669
3.731585	0.548525	2.234803	1.272878	3.51267	0.37173	1.099568	1.184347	1.742651	3.771974	0.317907	1.817072	7.311112	1.190758	2.669681	9.544681
3.166211	4.036492	1.785091	2.120513	0.749805	6.812327	0.085619	0.816572	5.457547	0.322688	2.972697	2.372432	6.423379	0.48944	1.32904	0.580527
0.503963	0.627018	32.166249	24.527615	2.482839	3.477867	2.727192	0.96109	7.420205	1.777696	8.458592	5.382998	1.983648	4.576815	2.47677	6.709175
0.71398	1.881882	4.312742	1.73916	5.12337	4.240424	5.099607	0.127904	2.408858	2.166844	0.004433	1.870286	1.92993	0.429946	0.543809	0.210971
2.411767	2.037653	1.181974	3.298203	10.844224	1.568825	0.749016	4.21497	6.659281	3.677122	5.368612	0.303763	1.406555	2.600566	2.229046	5.149274
3.798905	4.924923	6.500809	1.182156	2.087739	1.4645	5.23857	5.353092	0.333326	3.981224	0.767939	5.665501	0.639603	7.681838	3.650618	4.358412
1.079312	0.273286	0.185164	2.112585	3.735275	5.901882	3.413935	4.330286	3.371349	2.935361	5.146552	1.079138	1.141301	4.664895	1.777125	0.87281
2.310625	0.49109	3.553333	2.94525	2.067148	3.945173	5.792443	2.538019	2.536026	0.715692	1.041982	3.358671	0.128221	1.426217	2.673875	5.907659
1.000172	12.964658	19.929496	8.968715	9.007448	3.039563	2.451258	2.471339	7.912348	7.722866	0.349912	1.02726	4.894202	0.48314	1.086256	0.626359
0.942617	0.297819	1.567595	5.06646	1.045046	0.14024	1.604972	0.916215	2.668043	4.773145	0.083229	1.028653	0.861796	8.611565	0.123087	3.683426
2.073814	1.814996	1.348033	4.903235	0.100498	3.723493	3.62268	3.381578	0.193123	2.253156	6.092912	7.204437	2.406149	0.680716	1.191893	5.237491
7.372435	5.796209	8.839641	12.950493	1.079743	2.475073	5.282213	6.120223	8.214236	3.412861	2.629761	1.748678	0.889322	0.909542	1.021758	3.467872
0.467547	3.93207	2.716	8.810415	5.650218	4.165757	1.106403	2.529298	21.384431	2.015876	3.53304	1.520831	0.109232	0.923791	1.602663	1.597978
1.918344	0.280556	10.156521	7.982756	4.635546	4.591179	0.438996	0.323294	4.185392	0.680191	0.521231	5.958943	4.45815	5.218555	5.024005	3.599148
3.448003	1.975475	2.578818	2.00884	3.711493	8.075114	7.796144	0.656734	4.396864	2.305738	0.806581	6.43946	4.972597	4.731302	10.256276	7.776126
4.314834	2.280775	6.546701	10.790275	7.491622	4.132445	3.918116	2.052503	11.739032	3.6231	1.258041	3.721197	0.131017	7.343753	0.836594	5.976893
3.936059	10.227164	4.221435	5.38867	6.24863	12.451037	1.952454	3.233748	3.64089	6.993699	1.650619	0.968723	8.707772	8.309819	2.019171	8.992148
1.517318	1.097087	0.358536	0.155309	3.41617	2.053381	4.67618	1.428085	0.137925	2.409345	0.092761	5.52262	0.454261	1.109926	0.094591	5.213642
