ContA-ContB	ContA-ContC	ContA-DefaultA	ContA-DefaultB	ContA-DefaultC	ContA-DorsAttnA	ContA-DorsAttnB	ContA-LimbicA	ContA-LimbicB	ContA-SalVentAttnA	ContA-SalVentAttnB	ContA-SomMotA	ContA-SomMotB	ContA-TempPar	ContA-VisCent	ContA-VisPeri
10.839467	11.090481	9.582169	11.677772	2.792305	0.088601	1.907886	23.9181	8.740792	0.063721	1.171546	6.780469	3.967322	2.587511	0.812432	4.865905
2.922655	1.749463	5.303487	3.304845	7.995058	4.736631	2.208386	19.555774	1.763618	1.078297	4.370475	13.316986	2.61247	1.541454	0.426725	15.185074
22.229329	16.335066	7.763945	11.177745	19.612468	0.222715	3.413772	20.654102	5.260082	6.546249	6.254091	5.942954	8.881239	11.313442	2.140236	2.731174
7.28689	0.244033	1.471042	1.22992	0.941458	4.46084	0.231726	14.061048	7.521891	0.142605	2.369006	7.670887	5.426008	3.885999	5.591469	0.601757
7.548228	17.620321	33.097443	38.19518	1.127551	7.405242	1.651604	40.642447	17.605898	0.058084	9.607115	10.580282	4.428897	1.042042	4.297221	7.522606
9.790793	11.203684	14.294797	7.69764	1.212313	2.220757	6.240659	29.481333	13.343422	1.264435	3.238397	0.281527	2.921409	0.783261	3.127087	2.123575
2.950982	2.938747	3.849483	6.52386	0.850161	2.8783	4.571447	20.578476	7.057831	6.007215	4.645543	7.421353	1.446855	0.67553	4.182113	8.071039
4.685763	7.145953	1.938445	3.751542	0.457416	1.066822	2.813098	34.604716	5.319662	0.709197	11.0559	0.177628	1.487508	2.501522	1.375419	1.200983
9.384394	0.208952	3.475188	4.07003	7.062243	7.055028	3.371846	17.934942	18.080218	0.155842	4.48039	18.427999	6.516652	0.452711	1.196654	6.294541
6.078045	9.071181	18.731911	7.568596	1.729384	2.653347	4.485647	28.037335	20.883486	0.350524	9.560975	8.12643	4.786373	1.300226	2.602968	2.064898
7.627111	1.394638	1.28015	1.304685	0.01925	0.05326	5.099497	12.282323	6.058948	3.401055	0.923186	2.164741	1.740998	0.113177	1.730019	1.870652
7.307386	4.376149	0.458309	0.909349	1.620892	2.871053	0.868498	8.205555	6.743664	0.294617	4.063433	0.686393	0.722634	2.334942	3.63772	0.201211
24.336049	3.341809	1.205713	9.189785	16.930382	0.345971	0.570046	21.513858	11.279567	3.909693	1.26096	3.560641	3.012729	7.004902	0.94192	4.953813
0.748973	2.485866	5.126204	4.536544	0.351641	1.294327	0.758573	26.82269	5.088463	0.772468	11.196731	8.441477	3.500793	1.767851	1.195247	10.546021
21.276979	3.878837	10.524124	5.951102	0.716549	0.223323	0.841315	40.45569	13.068671	2.141943	8.343939	7.946189	1.525763	1.731333	0.76104	10.510327
6.738194	8.907007	7.260509	11.852773	5.046142	1.906308	1.596393	37.625048	32.072483	3.271362	8.328562	8.650702	5.981699	0.539836	1.805465	11.112502
4.167146	3.817412	8.171471	3.081545	0.589887	1.733211	0.853399	21.661732	8.53944	1.535868	4.848771	1.251528	1.241593	0.111005	0.244834	1.091535
2.252772	3.283474	3.141806	4.530691	2.940348	1.399735	0.182662	14.528975	3.911039	0.460956	2.923772	1.347807	2.341411	2.762998	0.071862	0.945025
1.266301	0.156698	0.625267	0.022149	4.074247	6.191615	0.9154	22.110656	4.87628	0.447612	8.099802	5.130485	10.291711	19.042565	2.901204	11.469627
13.79387	0.429347	2.938637	5.386365	5.112384	0.437912	0.188062	30.171545	20.702421	0.707163	10.37874	13.512616	0.087064	1.939629	3.954513	2.74801
1.151725	7.736837	4.700829	15.604229	11.534207	4.890447	3.173837	12.727626	8.594063	0.030321	9.148971	0.071612	7.881947	2.739944	2.550765	0.33469
0.610196	0.64486	0.917784	0.019972	1.689043	2.410082	3.238977	6.728687	10.373778	0.527217	0.308507	4.531005	0.828106	2.149143	0.702173	4.672585
4.723309	0.802394	0.3554	0.952192	1.220816	1.177636	0.52362	15.26266	3.842868	3.15462	7.204071	8.873981	2.257582	0.845634	0.615103	2.573993
12.45328	3.183997	11.098419	2.236383	0.250776	1.187849	4.44212	51.246847	14.135618	0.983651	13.035524	26.134083	6.433284	2.070525	3.133349	9.295773
3.972464	0.765481	7.962878	5.633468	0.358116	0.226667	4.477746	41.327175	20.653316	1.540643	24.266362	7.349746	3.891036	2.452269	1.419255	6.518368
3.531783	12.434857	19.111849	12.015473	6.214682	13.392601	5.537149	4.157413	0.082047	0.316987	0.070875	6.984019	1.761146	1.07567	8.784021	5.316126
4.703793	4.336166	8.462352	6.816057	0.954642	2.549961	1.313909	30.731741	21.699806	0.337223	6.349757	15.320134	9.43144	1.494696	5.740063	18.000498
3.029295	2.059107	0.486377	0.326781	1.168365	1.426189	1.859269	26.686573	1.995651	4.770485	1.765058	1.44141	0.263304	3.118885	10.094995	2.169117
10.154352	0.065531	0.33969	0.443653	2.51974	2.494879	9.406622	21.725897	16.497432	3.640657	12.532623	6.758513	0.708282	1.223792	1.153626	0.972851
2.042798	6.285153	3.783349	0.850551	1.47054	1.974277	0.746107	30.977532	1.178983	2.682053	3.866923	1.551984	0.655124	3.060177	1.258298	0.947189
7.55998	4.411623	3.408051	11.766885	2.500876	1.57588	3.474809	7.524921	10.65425	5.635553	14.425813	1.762799	0.118417	0.244798	2.872597	0.441788
11.682216	9.226324	2.777687	5.181531	1.39727	6.803201	6.419646	16.701522	12.525045	0.04455	7.248591	1.204783	3.919468	4.286441	0.075527	0.319658
10.145345	0.02944	0.688357	0.086941	0.228011	2.597396	0.975137	13.876252	6.079236	0.144837	0.966437	7.680501	3.1485	0.256327	0.184901	6.151627
14.997907	0.428201	1.92004	6.345443	5.175056	0.334066	4.387684	30.120927	4.926798	8.125275	5.483468	13.727614	3.015159	0.661864	1.466885	7.473436
2.033611	3.088498	2.074192	4.545992	2.070473	4.488326	0.271655	21.82055	10.571977	0.049273	10.898685	3.248241	2.059258	0.203869	1.944269	1.510816
4.482879	1.292778	4.245399	4.411842	2.597464	1.573131	0.326661	32.230729	11.406347	2.121804	7.006101	7.603613	0.629225	0.894033	1.845713	1.857754
8.87905	0.664759	2.218167	5.217684	0.53255	3.043986	0.626499	31.965614	20.727799	10.522965	14.148958	16.282844	1.415999	4.522427	1.193567	4.469209
16.395752	32.172167	39.755731	41.721461	7.446172	2.056025	12.907912	49.210092	28.72449	2.116582	16.839462	1.944416	3.186105	4.213214	15.663219	0.135697
6.982071	1.091698	1.472635	2.552185	5.0466	6.840558	3.004288	10.174489	11.732765	1.313113	8.277563	6.865342	5.381946	2.813539	0.079603	6.539787
0.883775	3.215976	3.430064	0.315448	7.62976	0.855607	2.129078	16.082577	12.899822	3.707863	5.35326	2.562694	0.667648	6.237386	1.913006	0.011272
0.742195	0.823448	15.756847	0.831127	0.212318	1.71979	2.371311	12.230381	5.264107	2.727328	5.444271	5.221739	5.566746	0.991791	3.055813	2.175775
7.557646	0.78893	4.245912	7.074067	0.901502	0.417005	4.315711	27.108664	2.969537	8.970306	0.695044	7.100049	7.088433	1.615037	3.226905	8.979763
