ContC-ContA	ContC-ContB	ContC-DefaultA	ContC-DefaultB	ContC-DefaultC	ContC-DorsAttnA	ContC-DorsAttnB	ContC-LimbicA	ContC-LimbicB	ContC-SalVentAttnA	ContC-SalVentAttnB	ContC-SomMotA	ContC-SomMotB	ContC-TempPar	ContC-VisCent	ContC-VisPeri
0.840937	0.522853	1.481556	1.887242	2.372782	0.628786	0.891292	6.099382	1.49352	1.254466	0.899835	0.230979	0.58687	0.420565	0.346602	0.373672
1.559126	7.299334	18.325353	7.178711	4.305118	3.764795	2.269519	8.054931	5.648504	2.250998	7.385273	1.773851	0.248731	1.186284	0.722959	3.141775
0.460729	0.632413	2.501171	1.274958	2.759709	0.431042	3.220043	2.190471	0.990658	0.097479	0.698487	2.129658	0.77556	1.724811	3.781567	1.484817
0.242701	0.164529	1.395134	1.900662	2.288955	3.650271	1.353882	0.564577	6.385443	1.189564	0.449685	4.047391	1.469943	1.789012	1.290293	2.077254
2.274456	4.777788	16.504866	5.179002	4.887856	2.179999	0.610287	0.032438	17.230927	1.170919	2.193022	3.487817	0.783258	0.005671	1.036528	1.125352
0.38765	1.031866	2.166513	4.199564	7.325749	2.426063	0.36058	8.676144	0.361041	1.097238	0.048892	3.901516	0.668546	1.343721	2.259224	2.421643
0.556086	0.592529	0.758318	4.080113	0.25297	2.182329	0.779846	0.416533	3.379956	2.419896	0.091697	1.881772	0.46004	0.122087	0.746475	1.849644
1.008862	0.896958	5.224716	0.156334	2.694002	1.503338	0.354686	0.194195	2.377308	0.909712	1.834694	0.491889	2.843737	1.034582	1.504317	0.99527
5.692161	2.776978	5.180151	0.574091	1.081595	2.459989	0.657203	6.633444	6.992508	0.91611	1.775109	0.060379	4.632221	1.875065	2.203467	0.415592
2.275265	0.166499	16.401025	3.162385	0.824734	5.507283	0.687758	1.710492	4.861064	0.840872	5.101525	3.100978	0.232846	3.451881	1.544444	2.374096
0.594174	1.579817	10.464476	0.833477	4.67252	0.861591	0.733535	1.08574	3.735235	4.29055	0.121107	1.086872	2.62528	0.534088	0.306639	1.459355
3.028976	1.545261	10.293823	3.52941	2.202357	0.201703	2.742114	3.744042	13.172192	1.688737	4.941005	6.685035	2.082134	0.836162	1.460991	5.27218
0.710339	1.024301	7.467844	5.396765	0.151896	1.023264	0.096316	2.006074	4.876728	2.155912	4.977437	3.375699	5.666055	0.510526	0.452063	4.498731
