SalVentAttnB-ContA	SalVentAttnB-ContB	SalVentAttnB-ContC	SalVentAttnB-DefaultA	SalVentAttnB-DefaultB	SalVentAttnB-DefaultC	SalVentAttnB-DorsAttnA	SalVentAttnB-DorsAttnB	SalVentAttnB-LimbicA	SalVentAttnB-LimbicB	SalVentAttnB-SalVentAttnA	SalVentAttnB-SomMotA	SalVentAttnB-SomMotB	SalVentAttnB-TempPar	SalVentAttnB-VisCent	SalVentAttnB-VisPeri
11.741782	1.252783	10.146276	17.408041	7.236059	4.419789	0.999591	7.638801	19.941529	49.985636	6.342464	9.547585	4.37377	1.453902	1.086835	1.375932
1.849913	2.104082	8.101497	5.882777	1.50926	0.89768	3.061943	4.537233	6.340284	31.338322	3.362793	2.824122	3.204373	2.396361	0.777756	0.210911
6.532338	5.085322	6.39426	18.164909	3.737935	5.902099	4.308216	0.183205	12.888316	21.710647	2.089924	0.270772	1.640748	4.983981	1.199322	2.151282
7.307404	5.38279	7.284466	8.720672	0.565069	0.983747	5.793555	5.677153	21.678143	32.464934	9.163662	2.029821	0.563099	0.353956	7.169405	1.348075
0.984963	0.571725	3.079432	0.311378	0.705364	0.244644	0.42564	2.607564	4.158802	24.848569	7.825682	5.641467	2.454326	0.592095	1.582441	0.842932
12.978978	6.1678	2.756849	12.198875	5.512262	0.230301	0.437622	7.186515	18.562774	76.305125	1.433043	9.573697	1.885875	1.056775	5.067256	2.708798
9.907638	0.049999	10.446611	13.62384	1.415399	5.471779	0.138754	19.266283	14.079499	48.794895	10.379538	6.362487	1.632271	7.337376	1.341928	2.114166
8.404596	7.191012	9.807886	11.116472	6.379439	1.56934	4.037694	3.243694	23.890918	42.41697	0.648636	8.220658	2.503638	3.860346	0.902529	3.75199
3.9791	0.356616	5.386015	1.019001	3.702042	0.027667	1.312842	3.850566	17.707372	38.017564	16.302808	2.599108	1.457122	0.272679	2.90421	1.54688
4.934751	0.005192	0.700576	1.79691	7.419856	7.003869	2.199841	1.94447	9.888584	42.711606	8.455295	3.030876	10.568882	0.179279	1.417863	1.331286
0.694234	0.563938	0.74044	0.108746	2.604673	1.092131	4.458534	2.621661	7.383268	53.271471	3.432538	9.434572	8.578659	0.399269	0.392565	0.448962
18.388784	2.251358	7.736998	7.990229	4.906912	4.608761	0.793976	7.31769	19.677921	47.608093	12.101683	13.326226	0.738124	0.656514	0.621811	6.402633
5.580129	0.458218	10.466189	16.249741	8.14605	1.05309	1.131684	15.560198	20.776687	54.177925	6.053319	6.667594	0.305727	2.277718	0.78185	8.629812
7.157984	4.524136	1.66507	1.490707	0.389017	3.826565	2.737405	2.753419	17.562568	39.613851	7.040216	6.936597	1.788075	3.761921	0.427138	2.478957
4.261152	1.213591	2.007197	0.197318	0.711829	1.450797	5.417773	0.526679	9.219698	15.039932	3.42634	4.935992	0.304962	1.770431	4.83676	0.283542
6.170305	0.272627	0.289441	0.504282	0.832879	2.500416	0.14318	5.233287	18.163961	51.792654	9.471434	8.088725	0.190007	1.889606	1.554031	2.65077
3.304546	3.631878	9.624358	2.05748	4.656945	4.879482	4.919621	0.765323	9.808936	31.680981	4.110097	6.361155	3.954116	1.315715	1.328065	1.998823
0.047223	1.711761	0.497242	2.524691	1.481706	0.419481	2.123299	0.141347	0.175626	13.172575	0.430414	0.321292	0.281744	2.333068	1.74994	1.69466
4.227154	1.110435	6.334887	10.148277	1.424898	2.373779	1.257436	3.142491	9.286442	25.506853	3.954018	2.94568	1.801513	3.551001	4.414821	6.897797
1.227622	1.973039	3.569003	0.962974	0.864268	0.134765	1.109723	1.608239	5.13958	12.595923	9.486339	8.98689	0.367413	1.802962	9.156191	3.533251
3.174718	1.572788	1.812387	1.073048	0.952937	0.759918	1.000728	0.708769	4.257111	5.767736	3.652167	2.433572	2.175376	0.627921	0.031299	0.068786
17.347111	3.038056	2.377566	6.039527	0.531121	0.797655	4.940844	4.53168	29.305914	44.770292	2.533769	8.983234	1.808919	0.126922	6.547199	5.073103
13.878858	9.090928	3.010057	2.341307	4.025651	1.791928	1.270479	0.824959	15.626697	29.093437	4.886633	13.866956	0.365213	0.416571	2.351369	7.036165
0.093002	4.669842	5.200234	0.544542	1.009417	2.607926	8.596097	2.305131	2.191845	24.285351	3.524328	0.251964	0.242472	17.599017	0.421566	3.409897
2.573942	0.31022	2.120268	21.771242	0.273413	1.497443	1.909814	8.451957	22.353442	31.983799	18.533819	3.761388	0.854507	2.892594	0.404801	3.844946
4.560834	0.812228	0.510755	10.569101	5.895455	1.851305	0.396347	3.372262	13.557699	43.462713	4.96813	3.064242	0.364603	1.033997	1.65853	2.522169
14.18427	3.841843	18.175218	10.418599	9.306843	8.829937	3.658121	1.327686	14.421841	24.744068	9.339871	8.395892	6.903752	1.307922	9.218296	6.554381
27.134182	5.673301	8.004075	10.495701	14.98706	6.36684	2.032462	7.081162	30.173222	57.756068	6.228985	19.760854	3.30908	1.339448	2.157593	20.848133
3.412127	2.399247	7.871133	3.229548	0.975502	3.287799	0.399592	10.408242	8.81481	70.902841	9.281302	3.509042	1.007089	0.41067	0.2973	4.146026
