DefaultC-ContA	DefaultC-ContB	DefaultC-ContC	DefaultC-DefaultA	DefaultC-DefaultB	DefaultC-DorsAttnA	DefaultC-DorsAttnB	DefaultC-LimbicA	DefaultC-LimbicB	DefaultC-SalVentAttnA	DefaultC-SalVentAttnB	DefaultC-SomMotA	DefaultC-SomMotB	DefaultC-TempPar	DefaultC-VisCent	DefaultC-VisPeri
11.041931	5.672932	9.813923	12.796289	11.980615	2.83358	4.776237	8.687222	4.907475	1.62093	2.272735	2.505632	0.968704	3.406335	5.323933	1.864649
17.243555	3.760525	10.107389	16.547147	17.291369	4.271616	0.435452	12.468713	4.858544	0.534635	4.053562	0.088653	0.099851	8.941059	2.417121	0.259522
0.686152	3.786272	0.330225	0.756814	6.642593	0.743728	2.874073	0.60181	0.865683	0.015769	0.025595	3.127	0.514238	1.28946	0.524522	3.946433
3.618337	1.373012	0.559	1.188994	6.247332	1.730419	0.276435	1.996471	4.672085	2.034823	4.091028	1.399596	0.987802	0.267077	0.12224	3.671732
6.93137	3.997555	9.104053	12.642879	13.936972	0.072418	1.873682	6.255191	2.918763	3.823896	5.781124	1.992733	5.672043	6.626879	3.261438	1.101796
2.885733	9.880532	3.03431	4.220797	28.381252	9.497722	7.78506	5.369413	8.814029	15.00415	11.291745	16.554589	1.839444	10.99495	1.099968	6.536115
0.941988	1.844113	0.349306	5.290076	4.253007	2.288436	5.892634	0.264227	0.472844	0.07677	0.378207	8.142855	3.805211	3.089451	5.37345	3.127018
2.528578	0.247984	3.550413	5.307546	3.715925	0.295756	1.672905	2.457993	2.247455	3.561017	1.964808	2.469725	2.091127	1.994242	0.927312	2.341695
1.770644	8.763858	2.560456	0.562966	12.641507	9.062047	3.002662	0.31975	1.662962	2.085895	0.987512	7.582659	3.74376	5.989297	0.024124	2.151848
0.537502	8.065487	0.039539	7.074098	3.68204	0.56543	0.694399	3.324254	3.407198	2.283576	4.805574	2.575282	0.495864	17.828361	1.486056	2.280191
2.375784	1.013313	1.775414	4.347948	4.142419	2.759341	0.553208	4.406379	0.177329	1.07529	0.931381	0.12036	0.810252	5.616313	1.84046	0.261432
0.42727	1.705493	2.23729	1.597666	18.163729	9.784372	7.080337	0.328127	0.498923	7.476027	0.063129	4.494507	0.715027	2.260348	1.17528	2.83134
7.478758	0.643639	8.937389	6.372088	5.942854	5.225703	1.756759	3.229422	5.686486	11.974518	0.960492	0.638728	2.991792	0.413578	0.537567	2.475143
0.564142	2.25532	3.108737	2.383747	3.855449	5.094206	0.154667	2.823497	2.015804	3.264074	4.89821	0.594896	0.05378	2.348103	1.396142	1.836569
0.973367	0.397996	0.863456	0.441122	0.756819	1.632929	3.502856	1.45953	0.368552	5.327824	0.254202	4.163122	0.798413	7.674222	1.522022	2.431487
2.586313	0.343184	1.348883	4.286681	9.69206	3.913017	0.407594	2.04504	2.522094	0.099893	0.876695	2.384463	0.534388	3.246229	3.412918	3.244341
1.674429	0.434315	1.169531	1.000673	3.139916	1.756976	0.907513	1.724809	0.97839	3.078093	0.038091	2.102892	0.264486	2.729914	1.057898	1.419875
4.733516	1.839966	5.455311	7.46276	0.321451	0.493481	0.594046	3.339346	0.365729	8.26293	3.366179	2.77208	0.653679	0.137959	0.619243	1.136579
7.480781	0.801016	1.603144	4.498811	4.62628	3.318291	0.322098	9.716495	3.024622	3.511352	2.228444	0.865148	4.591117	0.580511	0.104104	1.231462
4.495683	6.914034	25.803904	21.149808	2.607923	0.537609	21.862945	6.58966	0.139561	8.255691	3.080347	15.5851	4.170466	6.060468	11.855594	4.971827
4.559137	2.574627	1.865168	0.053529	2.740989	0.08874	0.252926	0.982164	0.655899	3.024243	5.79381	0.150362	0.429264	4.615243	2.812929	1.405632
0.435668	0.520165	1.063504	6.067824	36.635506	6.193698	4.90339	1.699483	1.619846	9.466517	1.834677	3.199255	5.880556	0.620677	3.407627	0.612363
1.69439	0.185043	11.775089	11.727278	4.705444	3.318633	10.63168	7.699023	3.879861	2.493415	3.419667	13.795691	1.036547	4.17394	5.891314	22.035238
0.354177	0.650274	0.551255	3.132002	1.99346	1.593132	1.688227	0.398238	1.79261	4.258218	0.228798	2.383457	0.539729	7.217307	1.59762	2.402387
0.50385	0.444348	0.650723	2.248458	12.255159	0.43869	3.639192	0.045959	0.112555	5.693148	0.751411	1.604902	1.960126	6.830823	0.437509	2.513516
1.864918	3.604944	0.531721	0.09498	20.416415	1.895073	2.417843	1.373802	1.304376	3.434347	0.25108	4.291306	0.972589	32.455672	0.866732	5.472595
4.935645	0.426007	1.246122	1.436857	19.795827	3.5606	2.085175	3.068596	0.73338	0.228567	1.209683	4.462462	4.45326	10.214549	2.998724	1.604907
2.247019	2.043751	16.696211	30.127411	2.656634	29.895457	5.138665	2.549747	3.353284	1.895707	4.547852	6.43036	0.477006	4.943381	7.72247	5.266961
0.440783	5.904874	0.600519	0.208708	21.11815	3.920627	2.387623	1.485666	0.962873	5.051191	1.536741	3.870467	3.491759	3.119604	0.116353	5.873766
2.558053	8.163829	1.050165	1.121334	4.712233	13.383076	11.395224	1.453981	0.910169	14.467197	3.049189	12.186679	3.157255	5.692104	10.261521	7.322303
2.587616	1.743681	0.429046	7.911288	17.03085	0.649972	1.640265	4.291954	5.635337	3.669855	3.11707	0.635052	0.661139	6.990706	2.553842	1.827755
5.772747	1.65916	0.910329	0.824526	0.134487	2.288796	1.38081	1.311604	0.533588	2.055124	3.962803	0.017992	3.019759	2.502971	0.821427	0.4969
1.183995	8.369525	0.280226	0.714064	13.703628	8.582713	3.246338	0.135667	0.028945	0.742383	0.040966	2.066483	3.866939	12.297386	3.791998	5.504255
1.042536	0.482923	2.670851	0.136729	5.845158	10.797612	8.433808	0.462737	8.580043	5.835195	1.399461	2.3255	4.598484	1.557647	0.124135	0.790606
0.304786	2.019744	5.909267	7.059362	7.899836	4.819055	1.21104	0.766793	4.102377	1.712468	0.794799	4.592169	2.606346	0.500211	0.32399	0.290311
2.233912	5.501564	0.295821	5.165374	9.059061	1.852699	3.702215	4.390928	3.381025	5.165365	4.001772	6.689804	2.398515	6.872492	3.255699	8.326576
0.597522	0.252339	4.821716	4.959251	26.45867	13.849747	6.328806	0.299326	0.351013	1.780584	1.104389	1.954082	4.730009	13.866446	1.353338	0.427295
8.597013	10.108635	5.136996	18.045855	1.230587	2.742243	8.048548	12.343257	3.032191	0.697987	0.331612	2.999136	3.858128	10.506721	8.120289	3.789292
6.876417	4.447507	1.882497	4.04339	18.946703	7.123801	3.381	5.487809	4.844016	5.829737	3.644448	7.372985	5.481426	7.701403	3.979724	2.189542
16.382287	13.197475	17.572452	19.307129	18.7278	4.015159	5.488942	16.829618	7.289896	1.83766	6.089184	2.899295	3.178177	2.4259	7.995771	0.579424
2.66977	1.133635	5.345206	3.041687	8.122018	1.861593	1.479816	1.561366	13.010602	8.719762	5.527003	5.735447	1.107383	2.089095	0.158631	3.494404
2.268059	1.04065	2.630775	1.316594	12.386878	2.364893	2.533161	0.556843	1.601771	8.099419	0.114355	2.424448	10.411977	7.535089	0.64357	0.590435
11.893654	4.09664	2.884916	2.186083	8.383351	1.178779	1.620837	17.204207	0.645773	7.198971	5.832251	1.066583	1.266799	3.836594	4.647399	0.874151
0.254077	0.194231	1.792744	2.47826	5.485587	2.828739	4.259731	2.319283	0.935552	1.61849	0.440668	3.265909	4.541963	3.35211	1.123071	2.703736
0.456437	1.135278	5.837425	5.749185	8.447732	1.716644	0.000695	0.75727	3.841938	0.065565	2.002006	2.182832	0.532997	0.96334	2.209726	0.53595
1.914189	2.974634	1.969717	5.180882	2.394729	1.002537	2.343768	0.515172	0.847983	0.308398	1.265723	5.498054	0.003466	6.808987	0.809264	0.316488
9.984115	3.563599	9.517837	20.977347	3.121964	13.758232	7.632255	5.310072	3.044307	2.349172	2.184265	3.05421	0.854857	1.008284	12.940217	2.105904
1.177555	15.902161	10.902883	11.475891	23.654386	6.928628	20.439778	2.896516	10.512783	18.011991	2.35559	11.463727	0.625796	4.292635	1.490196	15.721878
1.041981	0.370357	1.820753	2.03825	10.059291	3.04267	3.128728	1.249728	1.627366	0.053182	0.790402	3.749983	1.303461	6.056559	0.319788	2.965128
