DefaultA-ContA	DefaultA-ContB	DefaultA-ContC	DefaultA-DefaultB	DefaultA-DefaultC	DefaultA-DorsAttnA	DefaultA-DorsAttnB	DefaultA-LimbicA	DefaultA-LimbicB	DefaultA-SalVentAttnA	DefaultA-SalVentAttnB	DefaultA-SomMotA	DefaultA-SomMotB	DefaultA-TempPar	DefaultA-VisCent	DefaultA-VisPeri
1.460336	1.017658	14.745359	7.619392	3.298927	4.367389	4.723392	3.290255	18.749354	0.323118	1.361685	1.646727	1.06406	4.734126	0.913708	2.000928
6.679738	10.045903	22.351939	7.491388	0.014341	3.780602	0.05633	6.742421	11.719235	6.971946	4.749483	5.456217	10.279246	1.488083	4.311825	7.399285
6.807666	1.368509	22.116198	1.303025	0.438517	0.991818	0.061393	8.625801	8.75619	0.308669	3.710398	1.809743	1.212994	0.486364	0.702602	1.049421
0.763958	1.885036	20.388134	1.539352	5.489856	3.698152	0.59419	0.345785	10.676832	0.553641	2.856195	1.391548	0.479343	12.014051	6.022323	4.790659
0.074319	0.311444	2.575723	4.046862	1.445152	2.545003	2.861403	3.548308	3.971505	1.096551	1.34548	5.457068	2.563968	3.414422	1.508734	4.672912
1.564645	4.467752	22.141449	1.95518	1.416463	6.510295	0.495945	3.331308	13.96171	3.227908	4.631293	0.523095	1.38189	3.681701	2.604946	1.254747
5.480563	0.338412	18.636839	9.067221	3.892531	9.851862	3.152116	2.995253	15.663266	2.836466	1.945268	0.563669	1.337665	1.017373	1.389488	2.139973
2.751774	2.773916	27.680792	0.576256	2.230722	7.852597	3.941303	1.579167	14.542854	0.301062	4.16557	3.040364	6.120072	0.834094	3.014212	6.887184
0.106832	1.465593	16.629456	9.148403	0.164625	1.130583	0.832157	1.116499	7.479536	0.394552	0.569909	0.330177	2.376022	1.234631	1.836892	1.398019
14.51404	3.062171	20.650222	16.61081	1.216829	2.752395	0.246267	9.606235	11.303901	7.299696	8.268162	8.729004	2.262636	1.969807	4.411063	7.108794
0.444656	0.491883	9.544836	1.579924	10.719257	0.785344	0.170332	0.114899	2.80061	2.267738	0.164055	4.58142	2.360096	4.52222	0.557025	3.802507
3.727409	0.109255	2.130114	6.249271	1.188111	6.462194	5.044295	1.461365	1.026949	1.324291	4.732289	20.130511	1.463661	5.817918	6.735991	1.35361
4.835653	4.779392	37.209412	21.298606	6.086079	1.485708	3.483162	13.834179	26.399099	0.88829	5.098789	0.317034	3.657851	1.480443	5.298048	0.443196
6.650333	7.632603	29.79779	53.595335	9.509776	4.572037	0.246457	7.93874	12.909764	5.93847	6.407982	2.100748	4.907645	4.604879	2.94877	3.48344
9.57259	0.685284	31.81415	25.791187	1.172805	0.277229	0.543584	18.286512	21.687331	1.344906	5.630367	3.635662	5.801815	7.102511	0.376422	4.427684
12.265915	5.283447	21.893739	18.035155	7.100789	1.256364	2.758426	19.253198	13.931226	4.042272	3.156941	2.04508	6.638947	0.015464	4.572237	4.372204
24.959967	17.155065	51.183879	7.545418	9.932638	0.348712	9.480712	25.790283	17.677435	6.888943	8.803728	4.646217	2.731024	3.270948	6.314916	3.895965
5.811227	4.902969	23.801666	5.964328	0.447125	0.596675	1.986556	9.136988	8.919126	3.5139	4.114997	2.743501	1.959484	0.707226	0.840466	3.097771
1.72115	2.923306	9.568049	12.006732	3.329451	3.658632	0.294654	3.618313	8.099002	2.054523	7.071002	10.148694	3.15209	2.957435	7.640681	7.470837
15.618811	7.279892	15.844241	14.981912	0.521961	6.751742	4.208767	14.798004	17.291958	2.172662	10.248192	4.410374	1.211326	0.598845	1.265397	3.4449
5.300647	5.236138	14.461321	6.070765	0.673026	2.828671	1.629588	11.227615	7.039585	3.429612	3.463954	3.302181	0.383429	0.044837	0.223512	2.490897
14.392923	2.054983	35.514965	16.510383	2.970231	5.078397	4.751202	19.899764	42.114047	1.747594	27.020065	2.867921	1.895647	2.464444	6.878455	2.283852
4.174322	8.559408	14.110635	16.01202	4.889789	2.795444	1.92202	8.171065	8.292901	1.072331	3.943939	3.677452	1.182115	1.095935	1.995273	1.635405
5.594251	5.513882	48.094322	8.069858	1.460335	3.261331	6.008917	10.054445	13.565438	0.291433	6.322466	6.155238	4.00459	0.486547	1.952818	0.508519
4.187111	1.742984	11.336386	8.553101	4.775117	2.503702	4.368136	3.448937	13.413831	10.437323	1.843274	10.448429	2.115596	7.514288	1.059092	3.459203
2.576903	4.674105	31.050959	29.992207	3.636711	6.400325	0.274433	7.91054	4.305858	0.121427	2.19091	2.736646	2.619228	1.400571	1.087978	7.663153
10.543378	9.296483	22.387691	11.647562	12.693359	1.261622	2.758865	14.142689	12.032494	2.437419	7.157314	1.05329	5.199268	4.111341	1.311209	3.863817
4.391731	3.855912	84.200918	26.777821	0.681487	7.211893	7.641729	9.164282	19.475195	5.567199	3.421705	3.702058	4.106931	0.268715	4.717074	6.329148
0.867773	0.15286	2.393283	20.822086	3.884771	5.270551	1.67461	0.688813	12.904591	1.744221	3.400066	2.525147	0.280552	8.879453	0.191633	7.959755
36.331067	11.781194	13.220057	16.316603	3.886998	8.127936	1.989829	32.669548	34.150351	4.411181	7.229801	16.376308	17.736362	0.337206	1.862314	14.557353
2.646099	0.617749	1.696702	1.239893	2.232592	0.334509	2.479563	2.650884	14.125311	1.0053	2.290087	1.69969	0.570152	4.005542	1.524974	0.004398
14.231825	13.53674	23.451228	18.347835	1.697622	9.415553	1.317912	23.972111	14.79194	0.175725	2.56433	0.816844	8.548209	1.042389	0.731431	0.686176
