ContB-ContA	ContB-ContC	ContB-DefaultA	ContB-DefaultB	ContB-DefaultC	ContB-DorsAttnA	ContB-DorsAttnB	ContB-LimbicA	ContB-LimbicB	ContB-SalVentAttnA	ContB-SalVentAttnB	ContB-SomMotA	ContB-SomMotB	ContB-TempPar	ContB-VisCent	ContB-VisPeri
7.819835	0.486825	1.390878	5.260081	8.303714	2.792607	5.371866	8.904972	4.351333	1.666789	0.247171	5.16244	1.507036	4.844751	1.079887	7.044818
5.220982	15.043008	12.838529	8.87393	15.235333	4.16709	5.244111	1.38631	4.253886	3.151433	2.117355	3.200277	6.373124	1.268839	2.042517	4.085167
2.09052	3.233558	7.679843	13.240797	6.124629	2.330697	8.037611	1.547025	2.645014	1.188673	4.218464	6.733851	0.798523	6.497897	1.45091	6.196956
8.850967	6.243737	2.273479	4.043972	10.018288	10.576503	4.808917	15.153989	3.232158	5.932007	0.106617	8.972208	6.810387	9.785161	7.722126	6.912319
0.648355	0.786703	0.309742	5.17862	7.111214	5.581161	5.605745	0.287489	0.12996	2.194738	1.821248	0.70643	2.500933	0.464472	3.328091	1.195642
3.602694	0.189954	4.014805	1.337768	2.530689	0.273361	2.156987	2.056183	0.353119	0.055578	0.226166	1.364837	1.754132	3.175217	3.607797	3.845487
8.086382	3.467145	1.104391	4.966542	3.933271	4.767916	0.354609	4.450887	2.47419	1.122102	1.188217	12.698345	8.120354	4.089528	7.77237	6.816429
1.319231	8.441278	2.627397	1.625634	2.584973	1.923128	4.405483	1.693497	1.87048	8.218276	0.878135	0.21698	1.329111	1.5634	4.56246	0.697289
8.468131	1.249055	0.835863	4.408223	0.900647	0.099897	7.105561	3.603362	2.38994	2.238382	0.81002	1.336721	1.210728	3.016318	0.866863	3.050239
3.601383	8.978023	3.55352	0.09675	0.525345	1.794528	0.659489	7.164309	1.369532	0.195072	0.871261	6.001231	4.897982	0.612005	3.594297	5.679368
7.552944	3.700373	2.624612	6.819599	11.174535	0.460416	0.698832	3.887229	2.489178	2.32212	1.954919	11.239086	11.825481	6.352579	3.388541	4.486351
2.450548	2.835056	0.427355	0.310583	1.052078	0.451596	0.537778	2.641672	3.546735	5.490514	0.161294	15.846731	1.48597	0.341919	0.419058	10.183943
1.313371	3.88787	0.112394	3.877938	16.284029	0.93889	0.041998	0.102089	0.026865	2.010442	0.517658	4.229609	1.967816	3.144572	0.505031	2.227698
5.565361	0.354608	0.517467	6.564952	3.82736	2.609882	1.787327	3.935936	5.305004	10.036765	0.476508	0.47721	2.600049	1.823418	0.254277	1.947477
1.601998	0.020146	3.103867	0.16235	4.828013	8.618466	2.965994	2.748177	0.374563	3.198767	3.329277	7.053199	2.280584	0.172816	2.872884	0.535763
3.918023	7.634298	12.724173	10.041502	4.03858	4.675189	2.202735	9.144044	3.674238	6.943599	2.251063	8.166242	9.930473	2.317166	0.727228	6.396013
16.331808	12.128862	3.838031	5.001259	3.16105	0.668803	6.337393	7.084367	2.890653	0.236776	3.254178	7.68231	3.108566	0.69797	1.162743	6.597708
13.890352	2.792452	1.208059	4.690452	5.207886	0.959084	1.453822	7.981859	4.420744	0.070108	2.542934	4.901168	4.923802	1.61189	0.527019	6.377475
18.161577	9.884252	7.187053	10.046379	31.436182	1.029864	2.374208	7.418232	5.373023	3.312715	5.460628	3.853839	7.903484	11.928798	1.314382	0.990705
6.033227	3.575712	0.078446	1.262736	0.838266	1.116036	2.318195	0.82305	0.353515	4.531616	0.012165	3.306959	0.871383	0.565315	1.876609	0.604519
4.781176	7.794916	7.903818	14.516335	7.081847	0.871565	0.529764	12.411239	16.059756	1.228565	2.60123	9.278511	1.365473	0.04105	3.109128	4.492316
11.508536	15.428248	14.850455	6.830153	2.637215	0.576979	8.088801	11.187577	11.951629	2.309522	6.528115	4.686116	5.082664	0.028109	5.872423	1.525329
2.534179	7.411649	3.245573	2.034797	7.107389	0.468368	0.357739	3.183123	1.718631	0.356012	0.151898	4.544368	2.053778	3.521394	0.686916	2.667195
13.331495	14.810608	1.155745	2.633013	0.256666	1.340526	8.276941	14.078594	5.305478	2.175843	7.214261	2.204212	1.851126	0.364094	2.922347	2.652687
3.404148	1.420841	1.69959	2.224215	0.600575	1.061936	0.354982	1.300573	1.096183	1.001938	0.152931	0.350459	2.275386	1.790793	3.294445	0.574445
2.087317	11.443745	3.55343	0.973375	0.93453	0.107087	4.305878	1.618571	1.564962	6.666412	2.936928	3.305974	3.742031	3.196766	1.106739	0.822941
0.829074	1.053187	0.804377	7.183327	1.903475	3.682613	0.766071	0.511549	0.554329	1.145446	0.646648	0.418291	0.76899	1.432265	0.50661	1.937067
1.084629	3.831075	0.356985	1.0166	0.084322	5.100938	1.681154	1.041724	0.053222	3.01223	0.478547	0.254914	0.235352	0.490483	1.02121	1.434145
14.353893	8.463754	11.858073	15.746009	8.037019	0.667236	3.982065	14.351436	5.421519	5.232347	2.307189	0.486747	0.758217	2.177424	1.111337	1.19954
12.764337	1.213056	1.030613	8.060643	3.653961	0.168173	1.121846	20.015244	4.065769	5.825205	5.80792	12.948935	1.522573	5.438118	4.256662	14.241279
7.305072	7.542036	3.276878	3.91974	0.849305	0.108307	0.150583	11.36399	4.710524	5.135183	2.681937	1.888497	1.459335	2.61058	2.345422	2.645767
6.74693	6.479803	11.072831	23.284562	8.656751	8.506656	3.588427	11.458441	15.588941	4.117126	4.738027	14.586579	11.82439	0.203471	0.814129	8.73167
4.318081	1.080824	4.120283	0.534835	0.187661	0.408378	1.931788	7.241671	1.660543	0.964336	5.47515	0.875985	0.641574	2.422059	2.426969	0.930188
13.199504	4.025719	2.449484	1.884511	6.933741	1.651214	1.511869	7.794729	1.223758	4.3223	0.042784	1.062937	10.272815	3.188882	0.433854	0.969065
1.913937	1.506936	2.685541	7.732361	0.639421	4.965069	1.294845	0.646132	1.690607	0.653621	1.17078	2.296759	2.276385	0.606086	2.565431	2.405526
7.462436	0.167697	4.471013	4.581079	5.084854	0.025709	1.716547	6.707007	5.328834	0.55391	3.911227	15.065149	0.688813	2.292503	2.825586	8.077801
7.263763	0.155453	0.699808	1.166899	6.008003	3.105872	0.779727	1.792021	0.545747	1.328705	0.638598	1.065767	5.165711	4.215147	0.828073	3.469394
3.207273	4.722953	0.575954	0.326582	0.111108	4.535644	0.3675	3.206092	3.347806	1.517156	1.690168	7.169393	6.361214	0.238188	1.005051	6.914064
20.942715	3.204435	2.898245	3.760617	6.61046	0.526	0.807328	25.037235	10.17196	7.192175	4.728612	11.523397	1.634476	0.250782	1.024371	5.312557
5.729841	3.862572	3.239111	2.275129	0.85312	1.099284	6.108223	4.37746	5.336254	4.248171	5.866946	11.787484	1.980969	0.258704	3.612243	8.816831
0.056817	2.558757	0.03539	3.774577	0.118329	0.003961	2.551782	3.843622	4.846944	1.086252	1.962479	5.645084	5.308868	0.825535	3.021715	5.01733
15.294649	31.26658	47.966476	33.341128	15.714917	11.54167	8.607454	10.880852	5.401529	0.703096	4.210173	8.26348	0.070708	0.100449	0.513111	15.628927
2.186833	2.655895	2.121361	7.526939	6.227267	2.710267	1.29764	4.983102	0.763141	5.083864	0.165656	6.477522	1.355374	3.530469	1.334256	7.533048
0.564887	5.277617	1.429775	0.58178	4.406827	3.288038	0.647555	0.867263	3.647365	1.97202	1.280634	0.795036	1.420485	0.896144	1.952768	1.101136
1.066393	0.234964	0.475301	0.036113	1.445861	3.649262	2.195353	4.537553	9.07722	3.090995	7.129347	1.908223	0.652577	0.533857	2.425053	1.974637
2.164024	9.390623	2.911091	9.042964	4.478684	2.495102	2.372344	2.879295	2.170406	3.52147	0.117095	1.25912	3.036122	1.803836	4.883189	2.690825
13.745821	3.195539	4.785775	16.884055	4.298789	9.607979	10.21619	8.228386	2.896097	3.399195	4.258126	7.677069	3.445983	2.214933	5.911203	10.034371
2.514891	15.881746	5.685974	10.230646	0.47768	11.751339	7.1143	6.314943	13.717464	3.517438	4.818132	1.00777	7.590363	3.873819	1.286997	0.142651
1.129377	1.875739	0.382538	6.334096	5.377223	10.523582	0.237292	7.109435	0.059592	3.960096	0.121443	2.99808	10.770852	1.077566	1.085416	7.907828
1.147074	0.265933	4.303134	3.757268	2.310625	0.505452	0.029736	0.9594	2.111802	2.993314	1.089849	3.677405	2.072671	0.363765	2.557417	6.891621
5.243484	3.031697	0.556864	7.183552	11.942961	4.141717	1.186129	3.885605	1.115375	3.437928	1.496162	4.717306	2.894347	2.92316	0.336918	5.525604
1.640097	1.058011	3.576803	2.364456	5.775549	0.525109	1.303805	3.363098	3.58687	1.545774	3.596609	2.222178	0.966455	1.255983	2.216805	0.576325
0.50922	1.668355	1.298843	3.259204	2.532222	4.24961	0.299039	0.536564	0.936133	0.041888	2.258001	5.237379	2.604828	2.363639	1.339793	0.345215
4.449507	25.751729	14.455417	24.578153	6.302142	0.026346	5.676956	16.878258	10.355572	3.707624	4.00434	4.274889	2.699457	8.979603	7.221741	6.290815
10.719198	2.425514	3.623875	2.969545	1.125062	1.528156	3.342222	9.772261	4.219673	0.12054	3.606613	5.376375	4.83789	2.007205	0.759058	8.816746
5.325467	12.303328	6.265639	5.456205	1.417849	3.44012	2.503632	4.68334	2.471387	1.161512	0.112869	7.565538	7.279264	1.074442	0.391697	4.39682
4.288273	0.97106	3.081109	1.020782	2.371927	0.012464	0.84722	6.322216	0.399327	2.297651	3.348059	0.813727	0.251826	1.812728	0.052968	1.66289
3.566363	1.385772	2.10875	5.445122	3.010072	0.63186	1.072675	11.984699	1.562465	4.695577	1.417006	9.425699	6.299833	0.840695	2.702235	6.761241
9.423394	8.996598	16.444502	14.623026	5.630752	8.339301	1.965753	10.286153	2.030514	2.7759	0.093832	6.133711	5.903558	6.391787	0.088169	1.886722
0.902095	0.024839	0.386701	2.106894	1.082798	0.044724	0.591038	0.528967	0.298912	0.443586	0.207418	0.252855	0.188969	2.23355	0.49492	0.802157
1.602308	6.560868	1.215521	7.16707	2.293614	10.173794	0.837584	2.66281	5.058355	4.842605	0.628845	2.747012	12.133412	0.002291	0.494533	14.801585
10.540526	27.758127	27.612768	32.112752	24.760733	3.514105	1.763359	29.344682	17.581733	11.649185	0.383229	14.821756	1.799122	4.550634	6.443365	9.984411
2.461621	2.897094	3.782411	3.015292	0.202174	0.963451	0.350323	7.637622	1.80988	2.760117	1.172232	5.646671	0.590459	0.631995	4.089669	2.164264
